experiment_type,dataset,plot_type,horizon,seed,mode,depth_cnn,depth_gru,cka_s,cka_m,cka_d,cka_diag_mean,cka_full_mean,n_pairs,nan_frac
W1,ETTh2,cka_heatmap,96,42,per_layer,7,7,0.9253388878654536,0.9211088857173612,0.91770456482763,0.9233848230566728,0.900636934766053,49,0.0
W1,ETTh2,cka_heatmap,96,42,last_layer,7,7,0.9003330558017504,0.7925508285304451,0.7794630249264058,0.8180930803141252,0.8167845164795522,49,0.0
W1,ETTh2,cka_heatmap,96,2,per_layer,7,7,0.9134337490908252,0.9142219572903942,0.913751427114362,0.9170365670166432,0.8890565872359142,49,0.0
W1,ETTh2,cka_heatmap,96,2,last_layer,7,7,0.8795590994686203,0.7351668686257531,0.7153150801491815,0.7679320571728404,0.768657716818981,49,0.0
W1,ETTh2,cka_heatmap,96,3,per_layer,7,7,0.9073115382280575,0.8663916978068971,0.9162342468543648,0.903289737608126,0.868373983783154,49,0.0
W1,ETTh2,cka_heatmap,96,3,last_layer,7,7,0.8788753160009187,0.7508492041987557,0.7295597885828851,0.7784112566882737,0.7777112712165631,49,0.0
W1,ETTh2,cka_heatmap,96,5,per_layer,7,7,0.9024324803208464,0.8948736598497453,0.9098289542202812,0.9075820256297238,0.876056199273061,49,0.0
W1,ETTh2,cka_heatmap,96,5,last_layer,7,7,0.8843072308543442,0.7592937327289176,0.6933099229083357,0.7666642386411635,0.7678669163456008,49,0.0
W1,ETTh2,cka_heatmap,96,7,per_layer,7,7,0.8982633148309253,0.9035671295511412,0.911282739530898,0.9082226943975044,0.878543669701006,49,0.0
W1,ETTh2,cka_heatmap,96,7,last_layer,7,7,0.8761684731020913,0.7305846563642115,0.6756584822433971,0.7488731827061599,0.7489802772574967,49,0.0
W1,ETTh2,cka_heatmap,96,11,per_layer,7,7,0.8963739082299316,0.908736135036004,0.9095601233675008,0.9076316971400802,0.888001114009237,49,0.0
W1,ETTh2,cka_heatmap,96,11,last_layer,7,7,0.871363123164172,0.7362870912622971,0.6768911532696911,0.7493085236528115,0.7496972008604346,49,0.0
W1,ETTh2,cka_heatmap,96,13,per_layer,7,7,0.9002725325504358,0.8947190972580495,0.9065566640429038,0.9037187235766097,0.8842009268755401,49,0.0
W1,ETTh2,cka_heatmap,96,13,last_layer,7,7,0.8852710704350437,0.7903221539854712,0.784793292947693,0.81516704303346,0.8156398509411971,49,0.0
W1,ETTh2,cka_heatmap,96,17,per_layer,7,7,0.926217272953372,0.9286927829786612,0.9275314455076004,0.9296957075582938,0.907985129144049,49,0.0
W1,ETTh2,cka_heatmap,96,17,last_layer,7,7,0.9133584404247967,0.8149321219986647,0.8386836244184219,0.8534910546233233,0.8528875333710875,49,0.0
W1,ETTh2,cka_heatmap,96,19,per_layer,7,7,0.906214681622451,0.9223697935955298,0.9170199932794868,0.9187967535633969,0.8902276026622312,49,0.0
W1,ETTh2,cka_heatmap,96,19,last_layer,7,7,0.8672647417067807,0.7660390532684256,0.7228724770530882,0.7761278793806812,0.7772572922490705,49,0.0
W1,ETTh2,cka_heatmap,96,23,per_layer,7,7,0.9026158122821162,0.915410563133285,0.918240312713696,0.9158030782103348,0.8886116730750365,49,0.0
W1,ETTh2,cka_heatmap,96,23,last_layer,7,7,0.8919723466223266,0.7924864165307707,0.7781929481358445,0.8149443489810985,0.812599746380367,49,0.0
W1,ETTh2,cka_heatmap,192,42,per_layer,7,7,0.9556392397550968,0.9580077524110128,0.9276117370830468,0.9490280173990476,0.9102075289794932,49,0.0
W1,ETTh2,cka_heatmap,192,42,last_layer,7,7,0.8749791065001389,0.7107371088521118,0.6109767309433186,0.7149959416201165,0.7142390261870064,49,0.0
W1,ETTh2,cka_heatmap,192,2,per_layer,7,7,0.9432006414585616,0.9594317471689902,0.9178764268770748,0.9412927577843588,0.9065037563743324,49,0.0
W1,ETTh2,cka_heatmap,192,2,last_layer,7,7,0.8597305831375128,0.6875734751400542,0.6807324835045618,0.7341712216973998,0.7332012539844261,49,0.0
W1,ETTh2,cka_heatmap,192,3,per_layer,7,7,0.9434524932687104,0.9646419658561396,0.925530847393945,0.9463944274340982,0.907904172752416,49,0.0
W1,ETTh2,cka_heatmap,192,3,last_layer,7,7,0.860319230329286,0.7005375065405872,0.6839240805506677,0.7392234210669965,0.7387790608164928,49,0.0
W1,ETTh2,cka_heatmap,192,5,per_layer,7,7,0.9437897071772404,0.9573951778998864,0.9121639581681924,0.937457224833284,0.9013073897920626,49,0.0
W1,ETTh2,cka_heatmap,192,5,last_layer,7,7,0.8603846459572354,0.6829315726989111,0.5887882243916702,0.6934439919077959,0.6932719534813192,49,0.0
W1,ETTh2,cka_heatmap,192,7,per_layer,7,7,0.9409457937064408,0.9503521673752944,0.9179112464515784,0.9379822018261132,0.8993586504863809,49,0.0
W1,ETTh2,cka_heatmap,192,7,last_layer,7,7,0.8471940311835713,0.6351334872273413,0.5426918179772342,0.6562506782583105,0.6558263053158684,49,0.0
W1,ETTh2,cka_heatmap,192,11,per_layer,7,7,0.935288747757536,0.9584980119277636,0.902663477666878,0.930936609405238,0.8993576034413673,49,0.0
W1,ETTh2,cka_heatmap,192,11,last_layer,7,7,0.8544405159829465,0.6931269130614093,0.6834403775820381,0.7351638071756811,0.7347604123451419,49,0.0
W1,ETTh2,cka_heatmap,192,13,per_layer,7,7,0.9508660767526864,0.9604244222253826,0.9298372336344818,0.9476307748582644,0.9149132959512754,49,0.0
W1,ETTh2,cka_heatmap,192,13,last_layer,7,7,0.8692164123114908,0.7091760433503356,0.688479110621403,0.7459214749773568,0.7458747552011574,49,0.0
W1,ETTh2,cka_heatmap,192,17,per_layer,7,7,0.9569381031811536,0.9601789166973804,0.926595783927526,0.9477722681179024,0.9139929082684012,49,0.0
W1,ETTh2,cka_heatmap,192,17,last_layer,7,7,0.8823836132443116,0.6843018797970419,0.637357585776681,0.7211682855743462,0.7203608168006616,49,0.0
W1,ETTh2,cka_heatmap,192,19,per_layer,7,7,0.9236297460738794,0.9461223624353918,0.9136804479335892,0.9297202066080328,0.8879907116246183,49,0.0
W1,ETTh2,cka_heatmap,192,19,last_layer,7,7,0.835150967793141,0.6621357724421236,0.6199041715638315,0.6935578574414885,0.6921028421232939,49,0.0
W1,ETTh2,cka_heatmap,192,23,per_layer,7,7,0.9339063911920168,0.9528115917175598,0.915833497925148,0.9372555533746691,0.9037913286373764,49,0.0
W1,ETTh2,cka_heatmap,192,23,last_layer,7,7,0.8735274474284458,0.7048731426894652,0.6489827800395901,0.7290472159162223,0.7281886360435318,49,0.0
W1,ETTh2,cka_heatmap,336,42,per_layer,7,7,0.9366799932904734,0.943376622006425,0.9041357760157244,0.9295063540819292,0.8754438654435318,49,0.0
W1,ETTh2,cka_heatmap,336,42,last_layer,7,7,0.8703397998110575,0.7445280053214052,0.6932325906032565,0.7590027511912533,0.7580142865170146,49,0.0
W1,ETTh2,cka_heatmap,336,2,per_layer,7,7,0.9163595429844,0.9402019929350296,0.9225689619461356,0.9306068769124868,0.8787888997395116,49,0.0
W1,ETTh2,cka_heatmap,336,2,last_layer,7,7,0.8507326722973321,0.702406610269133,0.7148022010909632,0.7505058355027032,0.7484483145965434,49,0.0
W1,ETTh2,cka_heatmap,336,3,per_layer,7,7,0.9219187644671072,0.9504436565987344,0.9310164739547836,0.9389287088176188,0.888643892223721,49,0.0
W1,ETTh2,cka_heatmap,336,3,last_layer,7,7,0.8565030652913459,0.6971665504813889,0.741185665500232,0.7618327985483797,0.7607369024901445,49,0.0
W1,ETTh2,cka_heatmap,336,5,per_layer,7,7,0.9299475160707256,0.9378519874716098,0.915673473692638,0.9302486970410878,0.8761241080132123,49,0.0
W1,ETTh2,cka_heatmap,336,5,last_layer,7,7,0.8638509356907639,0.7041871174624721,0.6608670753850437,0.7316057830268903,0.7308144249735656,49,0.0
W1,ETTh2,cka_heatmap,336,7,per_layer,7,7,0.914221854915334,0.9380290270948172,0.9151026630251012,0.9272442078219888,0.870996368057223,49,0.0
W1,ETTh2,cka_heatmap,336,7,last_layer,7,7,0.8503541647848141,0.6871552299224637,0.5927601735614784,0.693415945881687,0.6933607239549812,49,0.0
W1,ETTh2,cka_heatmap,336,11,per_layer,7,7,0.9292265330105416,0.9446442520171516,0.9203435496972132,0.9343792815856392,0.8782480227682209,49,0.0
W1,ETTh2,cka_heatmap,336,11,last_layer,7,7,0.8591620748418437,0.7123654402176329,0.7007167476329389,0.7494098476611949,0.748544883419069,49,0.0
W1,ETTh2,cka_heatmap,336,13,per_layer,7,7,0.9235284600463782,0.9316878093085148,0.9126758460275084,0.9267090900624816,0.8708458914017664,49,0.0
W1,ETTh2,cka_heatmap,336,13,last_layer,7,7,0.8562107978240083,0.7368923830199956,0.7089436811930832,0.7590880514457,0.7587629056911951,49,0.0
W1,ETTh2,cka_heatmap,336,17,per_layer,7,7,0.9322881228902936,0.9359498841735509,0.9221977269939728,0.9325052218375818,0.8894893725930327,49,0.0
W1,ETTh2,cka_heatmap,336,17,last_layer,7,7,0.8859825677318106,0.7475654064978754,0.7933215696397347,0.8067094570930416,0.8052407777246305,49,0.0
W1,ETTh2,cka_heatmap,336,19,per_layer,7,7,0.8873056504477843,0.9304392109383964,0.9197299532221176,0.9175174947527088,0.8711006946724542,49,0.0
W1,ETTh2,cka_heatmap,336,19,last_layer,7,7,0.8223159972279864,0.6886471468831028,0.6902884054668611,0.7278374082196936,0.727590934324353,49,0.0
W1,ETTh2,cka_heatmap,336,23,per_layer,7,7,0.9249200386429008,0.9342687010398086,0.923478855750792,0.9309986258632552,0.8814744982661635,49,0.0
W1,ETTh2,cka_heatmap,336,23,last_layer,7,7,0.8715831257172597,0.7672797802583201,0.7833421852354086,0.8041662457544029,0.8045245502473787,49,0.0
W1,ETTh2,cka_heatmap,720,42,per_layer,7,7,0.8757014731557513,0.9180857233949522,0.9131120438346012,0.9090388814088236,0.8627234857397008,49,0.0
W1,ETTh2,cka_heatmap,720,42,last_layer,7,7,0.7920658080220615,0.6035313722192237,0.5962302654335624,0.6545694390626328,0.6501721474256188,49,0.0
W1,ETTh2,cka_heatmap,720,2,per_layer,7,7,0.8349310112855719,0.9020808597089528,0.9203329906667652,0.8959233781161345,0.8529078691792131,49,0.0
W1,ETTh2,cka_heatmap,720,2,last_layer,7,7,0.762594063838729,0.5517240527815378,0.5349300183977735,0.6052410887372001,0.6027089083926441,49,0.0
W1,ETTh2,cka_heatmap,720,3,per_layer,7,7,0.8660101644231953,0.914147613156741,0.9098280667304312,0.9038279112982732,0.8579383405326119,49,0.0
W1,ETTh2,cka_heatmap,720,3,last_layer,7,7,0.7949989768015223,0.5948667267356864,0.5904423355455819,0.6505972724553757,0.6471545481190277,49,0.0
W1,ETTh2,cka_heatmap,720,5,per_layer,7,7,0.8484937426647401,0.9103763874539986,0.9251291238752702,0.9031802339255856,0.8630117109097692,49,0.0
W1,ETTh2,cka_heatmap,720,5,last_layer,7,7,0.7712485786607894,0.5730005246151685,0.5602067622010236,0.6247849855521727,0.621688646476171,49,0.0
W1,ETTh2,cka_heatmap,720,7,per_layer,7,7,0.8574395827040682,0.9045405411592464,0.9236185180186413,0.9029175567649804,0.8631232444833349,49,0.0
W1,ETTh2,cka_heatmap,720,7,last_layer,7,7,0.770975829301847,0.5821607668814066,0.5641002139316904,0.6287517758805313,0.6280469226655797,49,0.0
W1,ETTh2,cka_heatmap,720,11,per_layer,7,7,0.8442937649299145,0.9302329158381832,0.9263010164867542,0.9085820239389296,0.8636848660768824,49,0.0
W1,ETTh2,cka_heatmap,720,11,last_layer,7,7,0.7343764541861068,0.4790660008978696,0.4256151452270572,0.5296847997952893,0.5289616751858597,49,0.0
W1,ETTh2,cka_heatmap,720,13,per_layer,7,7,0.84495730564996,0.8892151625864945,0.9091768948315524,0.8919223214497833,0.8495054291557955,49,0.0
W1,ETTh2,cka_heatmap,720,13,last_layer,7,7,0.7531205480307228,0.5474464916705615,0.5397519752447022,0.6030991813306844,0.6013815653897902,49,0.0
W1,ETTh2,cka_heatmap,720,17,per_layer,7,7,0.8489904856538835,0.9187827412969298,0.917902076684828,0.9024008207641872,0.875532192320036,49,0.0
W1,ETTh2,cka_heatmap,720,17,last_layer,7,7,0.7783766307799271,0.548892391297046,0.5118650488944108,0.5987898014073358,0.5986341015759243,49,0.0
W1,ETTh2,cka_heatmap,720,19,per_layer,7,7,0.7982536441888706,0.8871789803432129,0.9108395129467788,0.8752522323833407,0.8496130631592409,49,0.0
W1,ETTh2,cka_heatmap,720,19,last_layer,7,7,0.7245295833259027,0.5479111417314597,0.522239149986897,0.5874235846262091,0.5852091590194748,49,0.0
W1,ETTh2,cka_heatmap,720,23,per_layer,7,7,0.8467355285081266,0.9045626413691664,0.9199846198432664,0.8983977684803427,0.856025971798954,49,0.0
W1,ETTh2,cka_heatmap,720,23,last_layer,7,7,0.7654182754901322,0.59552723063802,0.6170679736835704,0.6537943709237849,0.650650747669104,49,0.0
