experiment_type,dataset,plot_type,horizon,seed,mode,layer_idx,depth_bin,grad_align_value
W1,ETTh2,grad_align_bar,96,42,per_layer,0,S,0.000721
W1,ETTh2,grad_align_bar,96,42,per_layer,1,S,0.006302
W1,ETTh2,grad_align_bar,96,42,per_layer,2,M,-0.007792
W1,ETTh2,grad_align_bar,96,42,per_layer,3,M,0.005535
W1,ETTh2,grad_align_bar,96,42,per_layer,4,D,-0.017503
W1,ETTh2,grad_align_bar,96,42,per_layer,5,D,-0.007445
W1,ETTh2,grad_align_bar,96,42,per_layer,6,D,-0.002836
W1,ETTh2,grad_align_bar,96,42,last_layer,0,S,-0.003436
W1,ETTh2,grad_align_bar,96,42,last_layer,1,S,-0.003682
W1,ETTh2,grad_align_bar,96,42,last_layer,2,M,0.005839
W1,ETTh2,grad_align_bar,96,42,last_layer,3,M,-0.014015
W1,ETTh2,grad_align_bar,96,42,last_layer,4,D,-0.005256
W1,ETTh2,grad_align_bar,96,42,last_layer,5,D,-0.007305
W1,ETTh2,grad_align_bar,96,42,last_layer,6,D,-0.005831
W1,ETTh2,grad_align_bar,96,2,per_layer,0,S,-0.008356
W1,ETTh2,grad_align_bar,96,2,per_layer,1,S,-0.014363
W1,ETTh2,grad_align_bar,96,2,per_layer,2,M,0.002553
W1,ETTh2,grad_align_bar,96,2,per_layer,3,M,-0.016436
W1,ETTh2,grad_align_bar,96,2,per_layer,4,D,0.001529
W1,ETTh2,grad_align_bar,96,2,per_layer,5,D,0.008411
W1,ETTh2,grad_align_bar,96,2,per_layer,6,D,0.002372
W1,ETTh2,grad_align_bar,96,2,last_layer,0,S,-0.002455
W1,ETTh2,grad_align_bar,96,2,last_layer,1,S,-0.005779
W1,ETTh2,grad_align_bar,96,2,last_layer,2,M,0.0095
W1,ETTh2,grad_align_bar,96,2,last_layer,3,M,0.003202
W1,ETTh2,grad_align_bar,96,2,last_layer,4,D,0.002922
W1,ETTh2,grad_align_bar,96,2,last_layer,5,D,-0.007954
W1,ETTh2,grad_align_bar,96,2,last_layer,6,D,0.027433
W1,ETTh2,grad_align_bar,96,3,per_layer,0,S,-0.010465
W1,ETTh2,grad_align_bar,96,3,per_layer,1,S,-0.008823
W1,ETTh2,grad_align_bar,96,3,per_layer,2,M,0.001309
W1,ETTh2,grad_align_bar,96,3,per_layer,3,M,-0.00027
W1,ETTh2,grad_align_bar,96,3,per_layer,4,D,0.00864
W1,ETTh2,grad_align_bar,96,3,per_layer,5,D,-0.009433
W1,ETTh2,grad_align_bar,96,3,per_layer,6,D,0.011183
W1,ETTh2,grad_align_bar,96,3,last_layer,0,S,-0.006584
W1,ETTh2,grad_align_bar,96,3,last_layer,1,S,0.001852
W1,ETTh2,grad_align_bar,96,3,last_layer,2,M,0.002591
W1,ETTh2,grad_align_bar,96,3,last_layer,3,M,0.003256
W1,ETTh2,grad_align_bar,96,3,last_layer,4,D,-0.000589
W1,ETTh2,grad_align_bar,96,3,last_layer,5,D,-0.008499
W1,ETTh2,grad_align_bar,96,3,last_layer,6,D,0.00662
W1,ETTh2,grad_align_bar,96,5,per_layer,0,S,-0.009151
W1,ETTh2,grad_align_bar,96,5,per_layer,1,S,-0.002832
W1,ETTh2,grad_align_bar,96,5,per_layer,2,M,-0.018697
W1,ETTh2,grad_align_bar,96,5,per_layer,3,M,-0.011231
W1,ETTh2,grad_align_bar,96,5,per_layer,4,D,-0.011539
W1,ETTh2,grad_align_bar,96,5,per_layer,5,D,0.003363
W1,ETTh2,grad_align_bar,96,5,per_layer,6,D,-0.012481
W1,ETTh2,grad_align_bar,96,5,last_layer,0,S,0.003601
W1,ETTh2,grad_align_bar,96,5,last_layer,1,S,0.00032
W1,ETTh2,grad_align_bar,96,5,last_layer,2,M,0.00138
W1,ETTh2,grad_align_bar,96,5,last_layer,3,M,-0.00779
W1,ETTh2,grad_align_bar,96,5,last_layer,4,D,0.007633
W1,ETTh2,grad_align_bar,96,5,last_layer,5,D,-0.001337
W1,ETTh2,grad_align_bar,96,5,last_layer,6,D,0.014442
W1,ETTh2,grad_align_bar,96,7,per_layer,0,S,0.003757
W1,ETTh2,grad_align_bar,96,7,per_layer,1,S,0.010588
W1,ETTh2,grad_align_bar,96,7,per_layer,2,M,0.010292
W1,ETTh2,grad_align_bar,96,7,per_layer,3,M,-0.003574
W1,ETTh2,grad_align_bar,96,7,per_layer,4,D,-0.005528
W1,ETTh2,grad_align_bar,96,7,per_layer,5,D,-0.007412
W1,ETTh2,grad_align_bar,96,7,per_layer,6,D,0.000826
W1,ETTh2,grad_align_bar,96,7,last_layer,0,S,0.005624
W1,ETTh2,grad_align_bar,96,7,last_layer,1,S,-0.002421
W1,ETTh2,grad_align_bar,96,7,last_layer,2,M,-0.008625
W1,ETTh2,grad_align_bar,96,7,last_layer,3,M,0.004173
W1,ETTh2,grad_align_bar,96,7,last_layer,4,D,0.004096
W1,ETTh2,grad_align_bar,96,7,last_layer,5,D,-0.007328
W1,ETTh2,grad_align_bar,96,7,last_layer,6,D,-0.013473
W1,ETTh2,grad_align_bar,96,11,per_layer,0,S,0.008287
W1,ETTh2,grad_align_bar,96,11,per_layer,1,S,-0.016153
W1,ETTh2,grad_align_bar,96,11,per_layer,2,M,-0.006293
W1,ETTh2,grad_align_bar,96,11,per_layer,3,M,-0.010664
W1,ETTh2,grad_align_bar,96,11,per_layer,4,D,0.003656
W1,ETTh2,grad_align_bar,96,11,per_layer,5,D,0.008693
W1,ETTh2,grad_align_bar,96,11,per_layer,6,D,0.000754
W1,ETTh2,grad_align_bar,96,11,last_layer,0,S,-0.000357
W1,ETTh2,grad_align_bar,96,11,last_layer,1,S,0.004252
W1,ETTh2,grad_align_bar,96,11,last_layer,2,M,-0.005123
W1,ETTh2,grad_align_bar,96,11,last_layer,3,M,0.003132
W1,ETTh2,grad_align_bar,96,11,last_layer,4,D,5.4e-05
W1,ETTh2,grad_align_bar,96,11,last_layer,5,D,-0.002257
W1,ETTh2,grad_align_bar,96,11,last_layer,6,D,-0.01414
W1,ETTh2,grad_align_bar,96,13,per_layer,0,S,0.007831
W1,ETTh2,grad_align_bar,96,13,per_layer,1,S,-0.005628
W1,ETTh2,grad_align_bar,96,13,per_layer,2,M,0.012248
W1,ETTh2,grad_align_bar,96,13,per_layer,3,M,-0.009679
W1,ETTh2,grad_align_bar,96,13,per_layer,4,D,0.009996
W1,ETTh2,grad_align_bar,96,13,per_layer,5,D,0.005132
W1,ETTh2,grad_align_bar,96,13,per_layer,6,D,0.0026
W1,ETTh2,grad_align_bar,96,13,last_layer,0,S,-0.000651
W1,ETTh2,grad_align_bar,96,13,last_layer,1,S,-0.000584
W1,ETTh2,grad_align_bar,96,13,last_layer,2,M,0.001351
W1,ETTh2,grad_align_bar,96,13,last_layer,3,M,0.00066
W1,ETTh2,grad_align_bar,96,13,last_layer,4,D,-0.009843
W1,ETTh2,grad_align_bar,96,13,last_layer,5,D,-0.001794
W1,ETTh2,grad_align_bar,96,13,last_layer,6,D,-0.018606
W1,ETTh2,grad_align_bar,96,17,per_layer,0,S,0.017406
W1,ETTh2,grad_align_bar,96,17,per_layer,1,S,-0.021754
W1,ETTh2,grad_align_bar,96,17,per_layer,2,M,-0.011764
W1,ETTh2,grad_align_bar,96,17,per_layer,3,M,-0.007836
W1,ETTh2,grad_align_bar,96,17,per_layer,4,D,-0.012498
W1,ETTh2,grad_align_bar,96,17,per_layer,5,D,0.00096
W1,ETTh2,grad_align_bar,96,17,per_layer,6,D,-0.008412
W1,ETTh2,grad_align_bar,96,17,last_layer,0,S,-0.004493
W1,ETTh2,grad_align_bar,96,17,last_layer,1,S,0.004697
W1,ETTh2,grad_align_bar,96,17,last_layer,2,M,0.004954
W1,ETTh2,grad_align_bar,96,17,last_layer,3,M,-0.007799
W1,ETTh2,grad_align_bar,96,17,last_layer,4,D,0.005934
W1,ETTh2,grad_align_bar,96,17,last_layer,5,D,-0.013025
W1,ETTh2,grad_align_bar,96,17,last_layer,6,D,0.020552
W1,ETTh2,grad_align_bar,96,19,per_layer,0,S,-0.003083
W1,ETTh2,grad_align_bar,96,19,per_layer,1,S,-0.010012
W1,ETTh2,grad_align_bar,96,19,per_layer,2,M,0.007077
W1,ETTh2,grad_align_bar,96,19,per_layer,3,M,-0.0144
W1,ETTh2,grad_align_bar,96,19,per_layer,4,D,0.011955
W1,ETTh2,grad_align_bar,96,19,per_layer,5,D,-0.007412
W1,ETTh2,grad_align_bar,96,19,per_layer,6,D,-0.009104
W1,ETTh2,grad_align_bar,96,19,last_layer,0,S,0.005255
W1,ETTh2,grad_align_bar,96,19,last_layer,1,S,0.009634
W1,ETTh2,grad_align_bar,96,19,last_layer,2,M,0.003123
W1,ETTh2,grad_align_bar,96,19,last_layer,3,M,0.005401
W1,ETTh2,grad_align_bar,96,19,last_layer,4,D,0.002758
W1,ETTh2,grad_align_bar,96,19,last_layer,5,D,0.010232
W1,ETTh2,grad_align_bar,96,19,last_layer,6,D,0.002875
W1,ETTh2,grad_align_bar,96,23,per_layer,0,S,0.002353
W1,ETTh2,grad_align_bar,96,23,per_layer,1,S,-0.009072
W1,ETTh2,grad_align_bar,96,23,per_layer,2,M,0.001889
W1,ETTh2,grad_align_bar,96,23,per_layer,3,M,0.027202
W1,ETTh2,grad_align_bar,96,23,per_layer,4,D,-0.001843
