experiment_type,dataset,plot_type,horizon,seed,mode,w1_knockout_base_rmse,w1_knockout_delta_mean,w1_knockout_delta_max,w1_knockout_delta_min
W1,ETTh2,knockout_curve,96,42,per_layer,4.649431985597412,0.001102469217889,0.0055485886615738,-0.0014368730478961
W1,ETTh2,knockout_curve,96,42,last_layer,5.231146990309918,0.0,0.0,0.0
W1,ETTh2,knockout_curve,96,2,per_layer,4.673747665025159,-0.0009249268101528,0.002983126244791,-0.004960227011149
W1,ETTh2,knockout_curve,96,2,last_layer,5.25261664804373,0.0,0.0,0.0
W1,ETTh2,knockout_curve,96,3,per_layer,4.694914885329346,-0.0013674347166615,0.0011687188722842,-0.0052973399408751
W1,ETTh2,knockout_curve,96,3,last_layer,5.271584349592692,0.0,0.0,0.0
W1,ETTh2,knockout_curve,96,5,per_layer,4.668412492801155,-0.0005867655053545,0.0020962528503067,-0.0049854273991742
W1,ETTh2,knockout_curve,96,5,last_layer,5.236802572279222,0.0,0.0,0.0
W1,ETTh2,knockout_curve,96,7,per_layer,4.666801237936224,-0.0019119717939065,0.0015338250803118,-0.0053907364067216
W1,ETTh2,knockout_curve,96,7,last_layer,5.196960077833785,0.0,0.0,0.0
W1,ETTh2,knockout_curve,96,11,per_layer,4.707375447331807,-0.002034315821775,0.0033948761296622,-0.0111843974766694
W1,ETTh2,knockout_curve,96,11,last_layer,5.190108578672574,0.0,0.0,0.0
W1,ETTh2,knockout_curve,96,13,per_layer,4.663732710381704,-0.0003192829995489,0.0027257926950676,-0.0050245989142361
W1,ETTh2,knockout_curve,96,13,last_layer,5.210735679275519,0.0,0.0,0.0
W1,ETTh2,knockout_curve,96,17,per_layer,4.671509691328179,-0.0011410996637725,0.0043264685741855,-0.005022223279087
W1,ETTh2,knockout_curve,96,17,last_layer,5.221481112971928,0.0,0.0,0.0
W1,ETTh2,knockout_curve,96,19,per_layer,4.677780970458821,-0.0018663359971768,0.0013424797570005,-0.0081479377607811
W1,ETTh2,knockout_curve,96,19,last_layer,5.253730709050495,0.0,0.0,0.0
W1,ETTh2,knockout_curve,96,23,per_layer,4.66926029996292,-0.0001156145571453,0.0029097824301205,-0.0052363943796942
W1,ETTh2,knockout_curve,96,23,last_layer,5.172539016185611,0.0,0.0,0.0
W1,ETTh2,knockout_curve,192,42,per_layer,4.897032709266024,0.0003544416554735,0.0045808074538795,-0.0028714739223945
W1,ETTh2,knockout_curve,192,42,last_layer,5.415540920161788,0.0,0.0,0.0
W1,ETTh2,knockout_curve,192,2,per_layer,4.9243339165606494,-0.0006086155629298,0.0043918270519442,-0.0067544165850446
W1,ETTh2,knockout_curve,192,2,last_layer,5.403452121237642,0.0,0.0,0.0
W1,ETTh2,knockout_curve,192,3,per_layer,4.932585170221272,-0.0020147486042351,0.0040775148202474,-0.0094255652611972
W1,ETTh2,knockout_curve,192,3,last_layer,5.373622039882843,0.0,0.0,0.0
W1,ETTh2,knockout_curve,192,5,per_layer,4.914373140690101,0.0002465934628697,0.0029197432230452,-0.0034251988928923
W1,ETTh2,knockout_curve,192,5,last_layer,5.422768727279052,0.0,0.0,0.0
W1,ETTh2,knockout_curve,192,7,per_layer,4.912979696600276,-0.0016496893942602,0.0025673830434129,-0.006244117928702
W1,ETTh2,knockout_curve,192,7,last_layer,5.388164898762595,0.0,0.0,0.0
W1,ETTh2,knockout_curve,192,11,per_layer,4.949603124564458,-0.0059140346712837,0.0003848109590833,-0.0136019911388931
W1,ETTh2,knockout_curve,192,11,last_layer,5.374393239039705,0.0,0.0,0.0
W1,ETTh2,knockout_curve,192,13,per_layer,4.9102550706046255,-0.0001092328796956,0.0036713588974812,-0.0055648037042486
W1,ETTh2,knockout_curve,192,13,last_layer,5.4060425188239165,0.0,0.0,0.0
W1,ETTh2,knockout_curve,192,17,per_layer,4.914879488083635,-0.0010569353352773,0.0029794652801831,-0.0063614191522267
W1,ETTh2,knockout_curve,192,17,last_layer,5.35981922143712,0.0,0.0,0.0
