experiment_type,dataset,plot_type,horizon,seed,mode,cnn_layer,gru_layer,cnn_depth_bin,gru_depth_bin,cka_value
W1,ETTm1,cka_heatmap,96,42,per_layer,0,0,S,S,0.993788
W1,ETTm1,cka_heatmap,96,42,per_layer,0,1,S,S,0.98692
W1,ETTm1,cka_heatmap,96,42,per_layer,0,2,S,M,0.978886
W1,ETTm1,cka_heatmap,96,42,per_layer,0,3,S,M,0.97222
W1,ETTm1,cka_heatmap,96,42,per_layer,0,4,S,D,0.953861
W1,ETTm1,cka_heatmap,96,42,per_layer,0,5,S,D,0.907399
W1,ETTm1,cka_heatmap,96,42,per_layer,0,6,S,D,0.931717
W1,ETTm1,cka_heatmap,96,42,per_layer,1,1,S,S,0.992767
W1,ETTm1,cka_heatmap,96,42,per_layer,1,2,S,M,0.986479
W1,ETTm1,cka_heatmap,96,42,per_layer,1,3,S,M,0.981076
W1,ETTm1,cka_heatmap,96,42,per_layer,1,4,S,D,0.965257
W1,ETTm1,cka_heatmap,96,42,per_layer,1,5,S,D,0.924149
W1,ETTm1,cka_heatmap,96,42,per_layer,1,6,S,D,0.942127
W1,ETTm1,cka_heatmap,96,42,per_layer,2,2,M,M,0.993114
W1,ETTm1,cka_heatmap,96,42,per_layer,2,3,M,M,0.990313
W1,ETTm1,cka_heatmap,96,42,per_layer,2,4,M,D,0.978915
W1,ETTm1,cka_heatmap,96,42,per_layer,2,5,M,D,0.946272
W1,ETTm1,cka_heatmap,96,42,per_layer,2,6,M,D,0.949887
W1,ETTm1,cka_heatmap,96,42,per_layer,3,3,M,M,0.993452
W1,ETTm1,cka_heatmap,96,42,per_layer,3,4,M,D,0.985736
W1,ETTm1,cka_heatmap,96,42,per_layer,3,5,M,D,0.964119
W1,ETTm1,cka_heatmap,96,42,per_layer,3,6,M,D,0.960819
W1,ETTm1,cka_heatmap,96,42,per_layer,4,4,D,D,0.981507
W1,ETTm1,cka_heatmap,96,42,per_layer,4,5,D,D,0.976176
W1,ETTm1,cka_heatmap,96,42,per_layer,4,6,D,D,0.963171
W1,ETTm1,cka_heatmap,96,42,per_layer,5,5,D,D,0.973946
W1,ETTm1,cka_heatmap,96,42,per_layer,5,6,D,D,0.961035
W1,ETTm1,cka_heatmap,96,42,per_layer,6,6,D,D,0.92382
W1,ETTm1,cka_heatmap,96,42,last_layer,0,0,S,S,0.991993
W1,ETTm1,cka_heatmap,96,42,last_layer,0,1,S,S,0.975485
W1,ETTm1,cka_heatmap,96,42,last_layer,0,2,S,M,0.974964
W1,ETTm1,cka_heatmap,96,42,last_layer,0,3,S,M,0.975198
W1,ETTm1,cka_heatmap,96,42,last_layer,0,4,S,D,0.967964
W1,ETTm1,cka_heatmap,96,42,last_layer,0,5,S,D,0.958553
W1,ETTm1,cka_heatmap,96,42,last_layer,0,6,S,D,0.939758
W1,ETTm1,cka_heatmap,96,42,last_layer,1,1,S,S,0.976066
W1,ETTm1,cka_heatmap,96,42,last_layer,1,2,S,M,0.975812
W1,ETTm1,cka_heatmap,96,42,last_layer,1,3,S,M,0.976151
W1,ETTm1,cka_heatmap,96,42,last_layer,1,4,S,D,0.969039
W1,ETTm1,cka_heatmap,96,42,last_layer,1,5,S,D,0.959561
W1,ETTm1,cka_heatmap,96,42,last_layer,1,6,S,D,0.940157
W1,ETTm1,cka_heatmap,96,42,last_layer,2,2,M,M,0.97794
W1,ETTm1,cka_heatmap,96,42,last_layer,2,3,M,M,0.978303
W1,ETTm1,cka_heatmap,96,42,last_layer,2,4,M,D,0.971122
W1,ETTm1,cka_heatmap,96,42,last_layer,2,5,M,D,0.961532
W1,ETTm1,cka_heatmap,96,42,last_layer,2,6,M,D,0.941287
W1,ETTm1,cka_heatmap,96,42,last_layer,3,3,M,M,0.977327
W1,ETTm1,cka_heatmap,96,42,last_layer,3,4,M,D,0.970803
W1,ETTm1,cka_heatmap,96,42,last_layer,3,5,M,D,0.961655
W1,ETTm1,cka_heatmap,96,42,last_layer,3,6,M,D,0.94236
W1,ETTm1,cka_heatmap,96,42,last_layer,4,4,D,D,0.970377
W1,ETTm1,cka_heatmap,96,42,last_layer,4,5,D,D,0.961236
W1,ETTm1,cka_heatmap,96,42,last_layer,4,6,D,D,0.941084
W1,ETTm1,cka_heatmap,96,42,last_layer,5,5,D,D,0.960138
W1,ETTm1,cka_heatmap,96,42,last_layer,5,6,D,D,0.939948
W1,ETTm1,cka_heatmap,96,42,last_layer,6,6,D,D,0.941156
W1,ETTm1,cka_heatmap,96,2,per_layer,0,0,S,S,0.992201
W1,ETTm1,cka_heatmap,96,2,per_layer,0,1,S,S,0.987544
W1,ETTm1,cka_heatmap,96,2,per_layer,0,2,S,M,0.977084
W1,ETTm1,cka_heatmap,96,2,per_layer,0,3,S,M,0.942293
W1,ETTm1,cka_heatmap,96,2,per_layer,0,4,S,D,0.90247
W1,ETTm1,cka_heatmap,96,2,per_layer,0,5,S,D,0.881934
