experiment_type,dataset,plot_type,horizon,seed,mode,depth_cnn,depth_gru,cka_s,cka_m,cka_d,cka_diag_mean,cka_full_mean,n_pairs,nan_frac
W1,ETTm1,cka_heatmap,96,42,per_layer,7,7,0.9925905299725352,0.9931303804247156,0.9564126312012,0.9789133252911484,0.9660061675624332,49,0.0
W1,ETTm1,cka_heatmap,96,42,last_layer,7,7,0.9839193798644528,0.9774784641458908,0.956728831208014,0.9707138004760374,0.9694556982550993,49,0.0
W1,ETTm1,cka_heatmap,96,2,per_layer,7,7,0.992559994545628,0.9897129928453337,0.9694035126860704,0.9828585487622188,0.9630429016023822,49,0.0
W1,ETTm1,cka_heatmap,96,2,last_layer,7,7,0.9807718165885664,0.9587688547524796,0.94012522700037,0.9571145804722352,0.9582373607321106,49,0.0
W1,ETTm1,cka_heatmap,96,3,per_layer,7,7,0.9919558661861928,0.9919719060470444,0.9188662590112142,0.9613829545844282,0.9483049510257224,49,0.0
W1,ETTm1,cka_heatmap,96,3,last_layer,7,7,0.9818313494883036,0.9689470012552392,0.9356020975081588,0.9583678630819484,0.957981436370552,49,0.0
W1,ETTm1,cka_heatmap,96,5,per_layer,7,7,0.9928951886990676,0.9937157252279036,0.9515171412498946,0.972965560408238,0.9670190915974942,49,0.0
W1,ETTm1,cka_heatmap,96,5,last_layer,7,7,0.97582583984347,0.9629029734944404,0.971867241956623,0.9705702534424256,0.969350191759212,49,0.0
W1,ETTm1,cka_heatmap,96,7,per_layer,7,7,0.9935896643724712,0.9909940605897556,0.9809316653944312,0.989058141854675,0.9796798078753188,49,0.0
W1,ETTm1,cka_heatmap,96,7,last_layer,7,7,0.980988625943212,0.9742989023849112,0.9663295144754928,0.9728466753122036,0.9720027645325904,49,0.0
W1,ETTm1,cka_heatmap,96,11,per_layer,7,7,0.9924443923559598,0.9914871376095822,0.980834833744551,0.9888366682125684,0.9798229488848884,49,0.0
W1,ETTm1,cka_heatmap,96,11,last_layer,7,7,0.9828790237152067,0.975099982154077,0.9774954977402204,0.978538156840418,0.9774946403145508,49,0.0
