experiment_type,dataset,plot_type,horizon,seed,mode,layer_idx,depth_bin,grad_align_value
W1,ETTm1,grad_align_bar,96,42,per_layer,0,S,-0.002181
W1,ETTm1,grad_align_bar,96,42,per_layer,1,S,-0.007306
W1,ETTm1,grad_align_bar,96,42,per_layer,2,M,-0.001547
W1,ETTm1,grad_align_bar,96,42,per_layer,3,M,0.006265
W1,ETTm1,grad_align_bar,96,42,per_layer,4,D,0.010339
W1,ETTm1,grad_align_bar,96,42,per_layer,5,D,-0.004625
W1,ETTm1,grad_align_bar,96,42,per_layer,6,D,0.004573
W1,ETTm1,grad_align_bar,96,42,last_layer,0,S,-0.000209
W1,ETTm1,grad_align_bar,96,42,last_layer,1,S,-0.006699
W1,ETTm1,grad_align_bar,96,42,last_layer,2,M,0.000812
W1,ETTm1,grad_align_bar,96,42,last_layer,3,M,0.006951
W1,ETTm1,grad_align_bar,96,42,last_layer,4,D,0.002617
W1,ETTm1,grad_align_bar,96,42,last_layer,5,D,0.018088
W1,ETTm1,grad_align_bar,96,42,last_layer,6,D,0.007265
W1,ETTm1,grad_align_bar,96,2,per_layer,0,S,-0.009355
W1,ETTm1,grad_align_bar,96,2,per_layer,1,S,0.015293
W1,ETTm1,grad_align_bar,96,2,per_layer,2,M,0.002152
W1,ETTm1,grad_align_bar,96,2,per_layer,3,M,0.005913
W1,ETTm1,grad_align_bar,96,2,per_layer,4,D,0.003678
W1,ETTm1,grad_align_bar,96,2,per_layer,5,D,0.010065
W1,ETTm1,grad_align_bar,96,2,per_layer,6,D,-0.000898
W1,ETTm1,grad_align_bar,96,2,last_layer,0,S,0.007275
W1,ETTm1,grad_align_bar,96,2,last_layer,1,S,-0.001649
W1,ETTm1,grad_align_bar,96,2,last_layer,2,M,0.001146
W1,ETTm1,grad_align_bar,96,2,last_layer,3,M,-0.015803
W1,ETTm1,grad_align_bar,96,2,last_layer,4,D,-0.009113
W1,ETTm1,grad_align_bar,96,2,last_layer,5,D,-0.005575
W1,ETTm1,grad_align_bar,96,2,last_layer,6,D,-0.004909
W1,ETTm1,grad_align_bar,96,3,per_layer,0,S,0.001933
W1,ETTm1,grad_align_bar,96,3,per_layer,1,S,0.014733
W1,ETTm1,grad_align_bar,96,3,per_layer,2,M,-0.005718
W1,ETTm1,grad_align_bar,96,3,per_layer,3,M,-0.008451
W1,ETTm1,grad_align_bar,96,3,per_layer,4,D,-0.008836
W1,ETTm1,grad_align_bar,96,3,per_layer,5,D,0.017316
W1,ETTm1,grad_align_bar,96,3,per_layer,6,D,0.008416
W1,ETTm1,grad_align_bar,96,3,last_layer,0,S,0.003201
W1,ETTm1,grad_align_bar,96,3,last_layer,1,S,-0.001491
W1,ETTm1,grad_align_bar,96,3,last_layer,2,M,0.006137
W1,ETTm1,grad_align_bar,96,3,last_layer,3,M,-0.002048
W1,ETTm1,grad_align_bar,96,3,last_layer,4,D,-0.002894
W1,ETTm1,grad_align_bar,96,3,last_layer,5,D,-0.009691
W1,ETTm1,grad_align_bar,96,3,last_layer,6,D,0.01276
W1,ETTm1,grad_align_bar,96,5,per_layer,0,S,0.000583
W1,ETTm1,grad_align_bar,96,5,per_layer,1,S,0.008722
W1,ETTm1,grad_align_bar,96,5,per_layer,2,M,0.005086
W1,ETTm1,grad_align_bar,96,5,per_layer,3,M,0.002622
W1,ETTm1,grad_align_bar,96,5,per_layer,4,D,-0.026678
W1,ETTm1,grad_align_bar,96,5,per_layer,5,D,-0.031043
W1,ETTm1,grad_align_bar,96,5,per_layer,6,D,-0.019204
W1,ETTm1,grad_align_bar,96,5,last_layer,0,S,0.004042
W1,ETTm1,grad_align_bar,96,5,last_layer,1,S,-0.003108
W1,ETTm1,grad_align_bar,96,5,last_layer,2,M,-0.004769
W1,ETTm1,grad_align_bar,96,5,last_layer,3,M,0.004025
W1,ETTm1,grad_align_bar,96,5,last_layer,4,D,0.002559
W1,ETTm1,grad_align_bar,96,5,last_layer,5,D,0.009734
W1,ETTm1,grad_align_bar,96,5,last_layer,6,D,0.0049
W1,ETTm1,grad_align_bar,96,7,per_layer,0,S,0.000459
W1,ETTm1,grad_align_bar,96,7,per_layer,1,S,-0.008178
W1,ETTm1,grad_align_bar,96,7,per_layer,2,M,-0.010603
W1,ETTm1,grad_align_bar,96,7,per_layer,3,M,-0.000373
W1,ETTm1,grad_align_bar,96,7,per_layer,4,D,3e-06
W1,ETTm1,grad_align_bar,96,7,per_layer,5,D,0.006724
W1,ETTm1,grad_align_bar,96,7,per_layer,6,D,0.000903
W1,ETTm1,grad_align_bar,96,7,last_layer,0,S,-0.009106
W1,ETTm1,grad_align_bar,96,7,last_layer,1,S,0.006587
W1,ETTm1,grad_align_bar,96,7,last_layer,2,M,0.006859
W1,ETTm1,grad_align_bar,96,7,last_layer,3,M,0.00026
W1,ETTm1,grad_align_bar,96,7,last_layer,4,D,-0.003616
W1,ETTm1,grad_align_bar,96,7,last_layer,5,D,-0.005487
W1,ETTm1,grad_align_bar,96,7,last_layer,6,D,0.006837
W1,ETTm1,grad_align_bar,96,11,per_layer,0,S,-0.00318
W1,ETTm1,grad_align_bar,96,11,per_layer,1,S,-0.019049
W1,ETTm1,grad_align_bar,96,11,per_layer,2,M,-0.020585
W1,ETTm1,grad_align_bar,96,11,per_layer,3,M,0.010136
W1,ETTm1,grad_align_bar,96,11,per_layer,4,D,-0.005102
W1,ETTm1,grad_align_bar,96,11,per_layer,5,D,-0.014148
W1,ETTm1,grad_align_bar,96,11,per_layer,6,D,0.014336
W1,ETTm1,grad_align_bar,96,11,last_layer,0,S,-0.004618
W1,ETTm1,grad_align_bar,96,11,last_layer,1,S,0.01352
W1,ETTm1,grad_align_bar,96,11,last_layer,2,M,0.008937
W1,ETTm1,grad_align_bar,96,11,last_layer,3,M,-0.00744
W1,ETTm1,grad_align_bar,96,11,last_layer,4,D,0.015164
W1,ETTm1,grad_align_bar,96,11,last_layer,5,D,-0.004657
W1,ETTm1,grad_align_bar,96,11,last_layer,6,D,-0.025357
W1,ETTm1,grad_align_bar,96,13,per_layer,0,S,0.025216
W1,ETTm1,grad_align_bar,96,13,per_layer,1,S,0.009756
W1,ETTm1,grad_align_bar,96,13,per_layer,2,M,-0.004693
W1,ETTm1,grad_align_bar,96,13,per_layer,3,M,-0.012294
W1,ETTm1,grad_align_bar,96,13,per_layer,4,D,0.013925
W1,ETTm1,grad_align_bar,96,13,per_layer,5,D,-0.000387
W1,ETTm1,grad_align_bar,96,13,per_layer,6,D,0.007616
W1,ETTm1,grad_align_bar,96,13,last_layer,0,S,0.004288
W1,ETTm1,grad_align_bar,96,13,last_layer,1,S,0.000433
W1,ETTm1,grad_align_bar,96,13,last_layer,2,M,-0.002931
W1,ETTm1,grad_align_bar,96,13,last_layer,3,M,0.004738
W1,ETTm1,grad_align_bar,96,13,last_layer,4,D,-0.005138
W1,ETTm1,grad_align_bar,96,13,last_layer,5,D,-0.025199
W1,ETTm1,grad_align_bar,96,13,last_layer,6,D,0.004798
W1,ETTm1,grad_align_bar,96,17,per_layer,0,S,0.008968
W1,ETTm1,grad_align_bar,96,17,per_layer,1,S,-0.0015
W1,ETTm1,grad_align_bar,96,17,per_layer,2,M,0.000566
W1,ETTm1,grad_align_bar,96,17,per_layer,3,M,-0.010721
W1,ETTm1,grad_align_bar,96,17,per_layer,4,D,0.008618
W1,ETTm1,grad_align_bar,96,17,per_layer,5,D,-0.003292
W1,ETTm1,grad_align_bar,96,17,per_layer,6,D,-0.005442
W1,ETTm1,grad_align_bar,96,17,last_layer,0,S,-0.007657
W1,ETTm1,grad_align_bar,96,17,last_layer,1,S,0.001086
W1,ETTm1,grad_align_bar,96,17,last_layer,2,M,0.004612
W1,ETTm1,grad_align_bar,96,17,last_layer,3,M,0.017023
W1,ETTm1,grad_align_bar,96,17,last_layer,4,D,-0.003376
W1,ETTm1,grad_align_bar,96,17,last_layer,5,D,0.020567
W1,ETTm1,grad_align_bar,96,17,last_layer,6,D,0.045568
