experiment_type,dataset,plot_type,horizon,seed,mode,layer_idx,rmse_knockout,delta_rmse
W1,ETTm2,knockout_curve,96,42,per_layer,0,3.4822433539254214,0.0086253323379472
W1,ETTm2,knockout_curve,96,42,per_layer,1,3.472514592522729,-0.0011034290647451
W1,ETTm2,knockout_curve,96,42,per_layer,2,3.4715034035255576,-0.0021146180619164
W1,ETTm2,knockout_curve,96,42,per_layer,3,3.477924985966215,0.004306964378741
W1,ETTm2,knockout_curve,96,42,per_layer,4,3.4712738910704943,-0.0023441305169797
W1,ETTm2,knockout_curve,96,42,per_layer,5,3.468303744215316,-0.0053142773721579
W1,ETTm2,knockout_curve,96,42,per_layer,6,3.466664785560422,-0.0069532360270523
W1,ETTm2,knockout_curve,96,42,last_layer,0,3.671277714407178,0.0
W1,ETTm2,knockout_curve,96,42,last_layer,1,3.671277714407178,0.0
W1,ETTm2,knockout_curve,96,42,last_layer,2,3.671277714407178,0.0
W1,ETTm2,knockout_curve,96,42,last_layer,3,3.671277714407178,0.0
W1,ETTm2,knockout_curve,96,42,last_layer,4,3.671277714407178,0.0
W1,ETTm2,knockout_curve,96,42,last_layer,5,3.671277714407178,0.0
W1,ETTm2,knockout_curve,96,42,last_layer,6,3.671277714407178,0.0
W1,ETTm2,knockout_curve,96,2,per_layer,0,3.4395405774228784,-0.0310035696942376
W1,ETTm2,knockout_curve,96,2,per_layer,1,3.475492967564509,0.0049488204473933
W1,ETTm2,knockout_curve,96,2,per_layer,2,3.448888106760552,-0.0216560403565644
W1,ETTm2,knockout_curve,96,2,per_layer,3,3.4641733473060814,-0.0063707998110347
W1,ETTm2,knockout_curve,96,2,per_layer,4,3.469789580155416,-0.0007545669617003
W1,ETTm2,knockout_curve,96,2,per_layer,5,3.464330872258092,-0.0062132748590242
W1,ETTm2,knockout_curve,96,2,per_layer,6,3.4560674986809734,-0.0144766484361427
W1,ETTm2,knockout_curve,96,2,last_layer,0,3.67407772118886,0.0
W1,ETTm2,knockout_curve,96,2,last_layer,1,3.67407772118886,0.0
W1,ETTm2,knockout_curve,96,2,last_layer,2,3.67407772118886,0.0
W1,ETTm2,knockout_curve,96,2,last_layer,3,3.67407772118886,0.0
W1,ETTm2,knockout_curve,96,2,last_layer,4,3.67407772118886,0.0
W1,ETTm2,knockout_curve,96,2,last_layer,5,3.67407772118886,0.0
W1,ETTm2,knockout_curve,96,2,last_layer,6,3.67407772118886,0.0
W1,ETTm2,knockout_curve,96,3,per_layer,0,3.4754815628072047,0.0044263816898197
W1,ETTm2,knockout_curve,96,3,per_layer,1,3.471678078283748,0.0006228971663633
W1,ETTm2,knockout_curve,96,3,per_layer,2,3.46971753174277,-0.0013376493746148
W1,ETTm2,knockout_curve,96,3,per_layer,3,3.4708684025305367,-0.0001867785868481
W1,ETTm2,knockout_curve,96,3,per_layer,4,3.469664451446795,-0.0013907296705899
W1,ETTm2,knockout_curve,96,3,per_layer,5,3.468998764617219,-0.0020564165001659
W1,ETTm2,knockout_curve,96,3,per_layer,6,3.470355342583568,-0.000699838533817
W1,ETTm2,knockout_curve,96,3,last_layer,0,3.672531601414856,0.0
W1,ETTm2,knockout_curve,96,3,last_layer,1,3.672531601414856,0.0
W1,ETTm2,knockout_curve,96,3,last_layer,2,3.672531601414856,0.0
W1,ETTm2,knockout_curve,96,3,last_layer,3,3.672531601414856,0.0
W1,ETTm2,knockout_curve,96,3,last_layer,4,3.672531601414856,0.0
W1,ETTm2,knockout_curve,96,3,last_layer,5,3.672531601414856,0.0
W1,ETTm2,knockout_curve,96,3,last_layer,6,3.672531601414856,0.0
W1,ETTm2,knockout_curve,96,5,per_layer,0,3.4817205090476464,0.0002203329419252
W1,ETTm2,knockout_curve,96,5,per_layer,1,3.4813958049567764,-0.0001043711489447
W1,ETTm2,knockout_curve,96,5,per_layer,2,3.4816286360306927,0.0001284599249715
W1,ETTm2,knockout_curve,96,5,per_layer,3,3.4846814344051777,0.0031812582994565
