experiment_type,dataset,plot_type,horizon,seed,mode,w1_knockout_base_rmse,w1_knockout_delta_mean,w1_knockout_delta_max,w1_knockout_delta_min
W1,ETTm2,knockout_curve,96,42,per_layer,3.473618021587474,-0.0006996277608804,0.0086253323379472,-0.0069532360270523
W1,ETTm2,knockout_curve,96,42,last_layer,3.671277714407178,0.0,0.0,0.0
W1,ETTm2,knockout_curve,96,2,per_layer,3.470544147117116,-0.0107894399530444,0.0049488204473933,-0.0310035696942376
W1,ETTm2,knockout_curve,96,2,last_layer,3.67407772118886,0.0,0.0,0.0
W1,ETTm2,knockout_curve,96,3,per_layer,3.471055181117385,-8.887625855041088e-05,0.0044263816898197,-0.0020564165001659
W1,ETTm2,knockout_curve,96,3,last_layer,3.672531601414856,0.0,0.0,0.0
W1,ETTm2,knockout_curve,96,5,per_layer,3.481500176105721,-0.0013996433505709,0.0031812582994565,-0.0082795337653656
W1,ETTm2,knockout_curve,96,5,last_layer,3.6739702007014494,0.0,0.0,0.0
W1,ETTm2,knockout_curve,96,7,per_layer,3.4894449119732345,-0.0018439203757022,0.0034639088424448,-0.0103248433195126
W1,ETTm2,knockout_curve,96,7,last_layer,3.722086552032595,0.0,0.0,0.0
W1,ETTm2,knockout_curve,96,11,per_layer,3.5010127735300176,-0.0068179923036221,0.0011549153596557,-0.0140007914213229
W1,ETTm2,knockout_curve,96,11,last_layer,3.69895881424972,0.0,0.0,0.0
W1,ETTm2,knockout_curve,96,13,per_layer,3.4612904798773747,-0.005223475176115,0.0022844994716915,-0.017337702268303
W1,ETTm2,knockout_curve,96,13,last_layer,3.6876743404749135,0.0,0.0,0.0
W1,ETTm2,knockout_curve,96,17,per_layer,3.4817364013287104,-0.0036338232154436,0.0023951293143507,-0.0075429784986806
W1,ETTm2,knockout_curve,96,17,last_layer,3.718356704676124,0.0,0.0,0.0
W1,ETTm2,knockout_curve,96,19,per_layer,3.476192730378028,-0.0052479354227662,0.0017384419166894,-0.0139232158570656
W1,ETTm2,knockout_curve,96,19,last_layer,3.729974303198965,0.0,0.0,0.0
W1,ETTm2,knockout_curve,96,23,per_layer,3.478206380063482,-0.0072629175024327,-0.003306169499806,-0.0135242629453333
W1,ETTm2,knockout_curve,96,23,last_layer,3.634784539605539,0.0,0.0,0.0
W1,ETTm2,knockout_curve,192,42,per_layer,4.040128418252418,-0.0098996029097632,0.003284679586387,-0.0310093860991198
W1,ETTm2,knockout_curve,192,42,last_layer,4.221583432997655,0.0,0.0,0.0
W1,ETTm2,knockout_curve,192,2,per_layer,4.011812356161352,-0.0104439938500477,0.0027955283046612,-0.037415570380042
W1,ETTm2,knockout_curve,192,2,last_layer,4.218752254222718,0.0,0.0,0.0
W1,ETTm2,knockout_curve,192,3,per_layer,4.005602123373574,-0.0010338214375805,0.0146179838466746,-0.0209779300030747
W1,ETTm2,knockout_curve,192,3,last_layer,4.207059396551586,0.0,0.0,0.0
W1,ETTm2,knockout_curve,192,5,per_layer,4.0327406621877415,-0.0026027740174802,0.0013557050019388,-0.0096258060963254
W1,ETTm2,knockout_curve,192,5,last_layer,4.241937122515565,0.0,0.0,0.0
W1,ETTm2,knockout_curve,192,7,per_layer,4.013008476268113,-0.0014007085391636,0.0160905141141398,-0.0206104391633572
W1,ETTm2,knockout_curve,192,7,last_layer,4.213084568254221,0.0,0.0,0.0
W1,ETTm2,knockout_curve,192,11,per_layer,4.043590962551899,-0.008013636934473,-0.0016949392328555,-0.0192124529621811
W1,ETTm2,knockout_curve,192,11,last_layer,4.248239668285247,0.0,0.0,0.0
W1,ETTm2,knockout_curve,192,13,per_layer,4.026676043890631,-0.0202145112186778,0.0052016859646704,-0.0664307240169765
W1,ETTm2,knockout_curve,192,13,last_layer,4.236730535335927,0.0,0.0,0.0
W1,ETTm2,knockout_curve,192,17,per_layer,4.016558457336375,-0.0018578672970786,0.0194587315999363,-0.0140798252553508
W1,ETTm2,knockout_curve,192,17,last_layer,4.247206523789076,0.0,0.0,0.0
W1,ETTm2,knockout_curve,192,19,per_layer,4.01112898747925,-0.0117820374061288,0.017732254268477,-0.0344081427675884
W1,ETTm2,knockout_curve,192,19,last_layer,4.224338883716289,0.0,0.0,0.0
W1,ETTm2,knockout_curve,192,23,per_layer,4.03156991501873,-0.0111993408426634,-0.0002487590923712,-0.0239742624242778
W1,ETTm2,knockout_curve,192,23,last_layer,4.215886254725492,0.0,0.0,0.0
W1,ETTm2,knockout_curve,336,42,per_layer,4.414999170629802,-0.0052434999255351,0.0117096555227522,-0.0296431236338623
W1,ETTm2,knockout_curve,336,42,last_layer,4.613644357867829,0.0,0.0,0.0
W1,ETTm2,knockout_curve,336,2,per_layer,4.43205759846192,-0.0178072459046163,0.0156339458021914,-0.0571413726133993
W1,ETTm2,knockout_curve,336,2,last_layer,4.6339712419748365,0.0,0.0,0.0
W1,ETTm2,knockout_curve,336,3,per_layer,4.404920421525643,-0.0007190227183824,0.0296022810182368,-0.0196171664585333
W1,ETTm2,knockout_curve,336,3,last_layer,4.63096739208756,0.0,0.0,0.0
W1,ETTm2,knockout_curve,336,5,per_layer,4.418509952278911,-0.0161796364308381,-0.0014730612217768,-0.0552487595276049
W1,ETTm2,knockout_curve,336,5,last_layer,4.631112336664351,0.0,0.0,0.0
W1,ETTm2,knockout_curve,336,7,per_layer,4.406435267963819,-0.016895652910924,-0.0045967657424368,-0.0383850408910309
W1,ETTm2,knockout_curve,336,7,last_layer,4.6133866242427,0.0,0.0,0.0
W1,ETTm2,knockout_curve,336,11,per_layer,4.411939984184301,-0.0061658436638711,0.0252644003228006,-0.026298128092332
W1,ETTm2,knockout_curve,336,11,last_layer,4.658402446040912,0.0,0.0,0.0
W1,ETTm2,knockout_curve,336,13,per_layer,4.42516416869248,-0.0143072195906747,0.0219862132826555,-0.0460281286077286
W1,ETTm2,knockout_curve,336,13,last_layer,4.64089681349751,0.0,0.0,0.0
W1,ETTm2,knockout_curve,336,17,per_layer,4.391547685004156,-0.0084519862545025,0.0238318466354385,-0.0328740965185367
W1,ETTm2,knockout_curve,336,17,last_layer,4.644625148479329,0.0,0.0,0.0
W1,ETTm2,knockout_curve,336,19,per_layer,4.407942526428921,-0.0158907290778089,-0.0068888956547894,-0.0314489914935736
W1,ETTm2,knockout_curve,336,19,last_layer,4.673721034130212,0.0,0.0,0.0
W1,ETTm2,knockout_curve,336,23,per_layer,4.407829672560921,-0.026723199469128,-0.0019983986551652,-0.0507532093275662
W1,ETTm2,knockout_curve,336,23,last_layer,4.606149540214467,0.0,0.0,0.0
W1,ETTm2,knockout_curve,720,42,per_layer,4.86552888060606,-0.0031163217614663,0.002607304845954,-0.0095205904476527
W1,ETTm2,knockout_curve,720,42,last_layer,5.083366717036123,0.0,0.0,0.0
W1,ETTm2,knockout_curve,720,2,per_layer,4.897165138782507,-0.0034659247308543,0.0029593286310243,-0.0132760319050291
W1,ETTm2,knockout_curve,720,2,last_layer,4.998443484949468,0.0,0.0,0.0
W1,ETTm2,knockout_curve,720,3,per_layer,4.870008359333395,-0.0016200435971937,0.0024387889087478,-0.0039724724391119
