experiment_type,dataset,plot_type,horizon,seed,mode,cnn_layer,gru_layer,cnn_depth_bin,gru_depth_bin,cka_value
W1,weather,cka_heatmap,96,42,per_layer,0,0,S,S,0.989603
W1,weather,cka_heatmap,96,42,per_layer,0,1,S,S,0.984592
W1,weather,cka_heatmap,96,42,per_layer,0,2,S,M,0.987461
W1,weather,cka_heatmap,96,42,per_layer,0,3,S,M,0.981377
W1,weather,cka_heatmap,96,42,per_layer,0,4,S,D,0.979258
W1,weather,cka_heatmap,96,42,per_layer,0,5,S,D,0.97195
W1,weather,cka_heatmap,96,42,per_layer,0,6,S,D,0.929141
W1,weather,cka_heatmap,96,42,per_layer,1,1,S,S,0.989531
W1,weather,cka_heatmap,96,42,per_layer,1,2,S,M,0.990298
W1,weather,cka_heatmap,96,42,per_layer,1,3,S,M,0.983032
W1,weather,cka_heatmap,96,42,per_layer,1,4,S,D,0.978085
W1,weather,cka_heatmap,96,42,per_layer,1,5,S,D,0.97184
W1,weather,cka_heatmap,96,42,per_layer,1,6,S,D,0.934847
W1,weather,cka_heatmap,96,42,per_layer,2,2,M,M,0.992357
W1,weather,cka_heatmap,96,42,per_layer,2,3,M,M,0.98539
W1,weather,cka_heatmap,96,42,per_layer,2,4,M,D,0.981296
W1,weather,cka_heatmap,96,42,per_layer,2,5,M,D,0.975975
W1,weather,cka_heatmap,96,42,per_layer,2,6,M,D,0.942992
W1,weather,cka_heatmap,96,42,per_layer,3,3,M,M,0.988335
W1,weather,cka_heatmap,96,42,per_layer,3,4,M,D,0.981918
W1,weather,cka_heatmap,96,42,per_layer,3,5,M,D,0.978813
W1,weather,cka_heatmap,96,42,per_layer,3,6,M,D,0.954617
W1,weather,cka_heatmap,96,42,per_layer,4,4,D,D,0.979083
W1,weather,cka_heatmap,96,42,per_layer,4,5,D,D,0.979296
W1,weather,cka_heatmap,96,42,per_layer,4,6,D,D,0.968389
W1,weather,cka_heatmap,96,42,per_layer,5,5,D,D,0.965685
W1,weather,cka_heatmap,96,42,per_layer,5,6,D,D,0.968046
W1,weather,cka_heatmap,96,42,per_layer,6,6,D,D,0.970245
W1,weather,cka_heatmap,96,42,last_layer,0,0,S,S,0.986108
W1,weather,cka_heatmap,96,42,last_layer,0,1,S,S,0.969081
W1,weather,cka_heatmap,96,42,last_layer,0,2,S,M,0.967994
W1,weather,cka_heatmap,96,42,last_layer,0,3,S,M,0.977324
W1,weather,cka_heatmap,96,42,last_layer,0,4,S,D,0.987794
W1,weather,cka_heatmap,96,42,last_layer,0,5,S,D,0.994868
W1,weather,cka_heatmap,96,42,last_layer,0,6,S,D,0.993683
W1,weather,cka_heatmap,96,42,last_layer,1,1,S,S,0.969807
W1,weather,cka_heatmap,96,42,last_layer,1,2,S,M,0.968691
W1,weather,cka_heatmap,96,42,last_layer,1,3,S,M,0.977997
W1,weather,cka_heatmap,96,42,last_layer,1,4,S,D,0.988234
W1,weather,cka_heatmap,96,42,last_layer,1,5,S,D,0.994881
W1,weather,cka_heatmap,96,42,last_layer,1,6,S,D,0.993053
W1,weather,cka_heatmap,96,42,last_layer,2,2,M,M,0.968266
W1,weather,cka_heatmap,96,42,last_layer,2,3,M,M,0.977727
W1,weather,cka_heatmap,96,42,last_layer,2,4,M,D,0.988105
W1,weather,cka_heatmap,96,42,last_layer,2,5,M,D,0.994782
W1,weather,cka_heatmap,96,42,last_layer,2,6,M,D,0.993117
W1,weather,cka_heatmap,96,42,last_layer,3,3,M,M,0.975337
W1,weather,cka_heatmap,96,42,last_layer,3,4,M,D,0.986745
W1,weather,cka_heatmap,96,42,last_layer,3,5,M,D,0.994597
W1,weather,cka_heatmap,96,42,last_layer,3,6,M,D,0.993398
W1,weather,cka_heatmap,96,42,last_layer,4,4,D,D,0.984706
W1,weather,cka_heatmap,96,42,last_layer,4,5,D,D,0.993967
W1,weather,cka_heatmap,96,42,last_layer,4,6,D,D,0.994212
W1,weather,cka_heatmap,96,42,last_layer,5,5,D,D,0.993353
W1,weather,cka_heatmap,96,42,last_layer,5,6,D,D,0.99479
W1,weather,cka_heatmap,96,42,last_layer,6,6,D,D,0.995213
W1,weather,cka_heatmap,96,2,per_layer,0,0,S,S,0.988766
W1,weather,cka_heatmap,96,2,per_layer,0,1,S,S,0.983608
W1,weather,cka_heatmap,96,2,per_layer,0,2,S,M,0.983146
W1,weather,cka_heatmap,96,2,per_layer,0,3,S,M,0.985837
W1,weather,cka_heatmap,96,2,per_layer,0,4,S,D,0.987125
W1,weather,cka_heatmap,96,2,per_layer,0,5,S,D,0.97869
W1,weather,cka_heatmap,96,2,per_layer,0,6,S,D,0.968517
W1,weather,cka_heatmap,96,2,per_layer,1,1,S,S,0.988511
W1,weather,cka_heatmap,96,2,per_layer,1,2,S,M,0.98749
W1,weather,cka_heatmap,96,2,per_layer,1,3,S,M,0.989884
W1,weather,cka_heatmap,96,2,per_layer,1,4,S,D,0.991415
W1,weather,cka_heatmap,96,2,per_layer,1,5,S,D,0.982348
W1,weather,cka_heatmap,96,2,per_layer,1,6,S,D,0.97357
W1,weather,cka_heatmap,96,2,per_layer,2,2,M,M,0.989514
W1,weather,cka_heatmap,96,2,per_layer,2,3,M,M,0.992142
W1,weather,cka_heatmap,96,2,per_layer,2,4,M,D,0.993721
W1,weather,cka_heatmap,96,2,per_layer,2,5,M,D,0.984013
W1,weather,cka_heatmap,96,2,per_layer,2,6,M,D,0.977184
W1,weather,cka_heatmap,96,2,per_layer,3,3,M,M,0.993835
W1,weather,cka_heatmap,96,2,per_layer,3,4,M,D,0.994911
W1,weather,cka_heatmap,96,2,per_layer,3,5,M,D,0.985
W1,weather,cka_heatmap,96,2,per_layer,3,6,M,D,0.978444
W1,weather,cka_heatmap,96,2,per_layer,4,4,D,D,0.992683
W1,weather,cka_heatmap,96,2,per_layer,4,5,D,D,0.984954
W1,weather,cka_heatmap,96,2,per_layer,4,6,D,D,0.979605
