experiment_type,dataset,plot_type,horizon,seed,mode,depth_cnn,depth_gru,cka_s,cka_m,cka_d,cka_diag_mean,cka_full_mean,n_pairs,nan_frac
W1,weather,cka_heatmap,96,42,per_layer,7,7,0.9890726084413228,0.9900579611704766,0.9688277447124356,0.9821197174987688,0.9781786357776868,49,0.0
W1,weather,cka_heatmap,96,42,last_layer,7,7,0.9779722975872972,0.9715470834018396,0.9901542918156128,0.981827067377684,0.9796124051318442,49,0.0
W1,weather,cka_heatmap,96,2,per_layer,7,7,0.9884553182362869,0.9920924322355776,0.9748250750085956,0.9837281546592104,0.9832887797696612,49,0.0
W1,weather,cka_heatmap,96,2,last_layer,7,7,0.9786278150403116,0.976367751457782,0.9894402663213596,0.9831820644728664,0.9799448508966028,49,0.0
W1,weather,cka_heatmap,96,3,per_layer,7,7,0.9903936708190249,0.9885824984293016,0.9729608727180624,0.9829007155735184,0.9820895036543776,49,0.0
W1,weather,cka_heatmap,96,3,last_layer,7,7,0.9700817817408924,0.944148062346232,0.9706042444952462,0.9641194669604626,0.9588808124368304,49,0.0
W1,weather,cka_heatmap,96,5,per_layer,7,7,0.992938495759072,0.9859437036000106,0.9818824618371654,0.9859014080355945,0.980749758404728,49,0.0
W1,weather,cka_heatmap,96,5,last_layer,7,7,0.9757465017822672,0.964932691487597,0.9878237060646756,0.9786482897037688,0.9758390474561948,49,0.0
W1,weather,cka_heatmap,96,7,per_layer,7,7,0.9855423019496106,0.9870966276159926,0.9634833935631176,0.977399089772402,0.9712495710633364,49,0.0
W1,weather,cka_heatmap,96,7,last_layer,7,7,0.96322300874252,0.936429323059021,0.9590449823334056,0.9545248519941462,0.9518669580426804,49,0.0
W1,weather,cka_heatmap,96,11,per_layer,7,7,0.9884512658371084,0.9915512047155634,0.9762114819830328,0.983542958350792,0.9828192798095254,49,0.0
W1,weather,cka_heatmap,96,11,last_layer,7,7,0.9713462469485707,0.9476054171934264,0.9772125159817509,0.9678117520307004,0.9652836300950768,49,0.0
W1,weather,cka_heatmap,96,13,per_layer,7,7,0.9900388453197012,0.985902510038536,0.9837496656427815,0.9871629918958922,0.9827245289935432,49,0.0
W1,weather,cka_heatmap,96,13,last_layer,7,7,0.9748987525485324,0.9748296436243056,0.9657650422058544,0.9715891841658272,0.9675728854142372,49,0.0
W1,weather,cka_heatmap,96,17,per_layer,7,7,0.9879992962257592,0.992885902721553,0.9699777551128876,0.982896039746024,0.9805924443495684,49,0.0
W1,weather,cka_heatmap,96,17,last_layer,7,7,0.9730262083479236,0.9591870782876732,0.9792583800682552,0.9723573779141332,0.9689688220895964,49,0.0
W1,weather,cka_heatmap,96,19,per_layer,7,7,0.9845990486129628,0.987807843364213,0.969976720088512,0.9803388698164904,0.975664934138313,49,0.0
W1,weather,cka_heatmap,96,19,last_layer,7,7,0.9748285817887296,0.9687451250299138,0.9900198775725576,0.9800650162646484,0.9761821743283908,49,0.0
W1,weather,cka_heatmap,96,23,per_layer,7,7,0.9880448866042396,0.9937732730030336,0.9841143517637324,0.987720223142004,0.9847305794865922,49,0.0
W1,weather,cka_heatmap,96,23,last_layer,7,7,0.9772692803129972,0.9637729574751328,0.9847970432936236,0.9773863089339958,0.9738911933502,49,0.0
W1,weather,cka_heatmap,192,42,per_layer,7,7,0.9923339316285884,0.9934840202618344,0.9771978165999144,0.9862597629362654,0.979376380694316,49,0.0
W1,weather,cka_heatmap,192,42,last_layer,7,7,0.9808030216176972,0.9538489801434212,0.9047197064029308,0.9406510651435368,0.9411843026896016,49,0.0
