experiment_type,dataset,plot_type,horizon,seed,mode,layer_idx,depth_bin,grad_align_value
W1,weather,grad_align_bar,96,42,per_layer,0,S,-0.018568
W1,weather,grad_align_bar,96,42,per_layer,1,S,0.00488
W1,weather,grad_align_bar,96,42,per_layer,2,M,-0.016966
W1,weather,grad_align_bar,96,42,per_layer,3,M,0.002696
W1,weather,grad_align_bar,96,42,per_layer,4,D,0.008251
W1,weather,grad_align_bar,96,42,per_layer,5,D,0.005075
W1,weather,grad_align_bar,96,42,per_layer,6,D,0.001614
W1,weather,grad_align_bar,96,42,last_layer,0,S,0.004358
W1,weather,grad_align_bar,96,42,last_layer,1,S,0.006107
W1,weather,grad_align_bar,96,42,last_layer,2,M,-0.003523
W1,weather,grad_align_bar,96,42,last_layer,3,M,-0.000653
W1,weather,grad_align_bar,96,42,last_layer,4,D,0.008632
W1,weather,grad_align_bar,96,42,last_layer,5,D,0.003284
W1,weather,grad_align_bar,96,42,last_layer,6,D,-0.027884
W1,weather,grad_align_bar,96,2,per_layer,0,S,0.003559
W1,weather,grad_align_bar,96,2,per_layer,1,S,0.001655
W1,weather,grad_align_bar,96,2,per_layer,2,M,-0.001835
W1,weather,grad_align_bar,96,2,per_layer,3,M,-0.02285
W1,weather,grad_align_bar,96,2,per_layer,4,D,0.004055
W1,weather,grad_align_bar,96,2,per_layer,5,D,-0.001097
W1,weather,grad_align_bar,96,2,per_layer,6,D,-0.003392
W1,weather,grad_align_bar,96,2,last_layer,0,S,0.000877
W1,weather,grad_align_bar,96,2,last_layer,1,S,0.005839
W1,weather,grad_align_bar,96,2,last_layer,2,M,0.001721
W1,weather,grad_align_bar,96,2,last_layer,3,M,-0.001541
W1,weather,grad_align_bar,96,2,last_layer,4,D,-0.00833
W1,weather,grad_align_bar,96,2,last_layer,5,D,0.013535
W1,weather,grad_align_bar,96,2,last_layer,6,D,-0.02268
W1,weather,grad_align_bar,96,3,per_layer,0,S,-0.008247
W1,weather,grad_align_bar,96,3,per_layer,1,S,0.008324
W1,weather,grad_align_bar,96,3,per_layer,2,M,-0.000869
W1,weather,grad_align_bar,96,3,per_layer,3,M,-0.003981
W1,weather,grad_align_bar,96,3,per_layer,4,D,0.001989
W1,weather,grad_align_bar,96,3,per_layer,5,D,0.007167
W1,weather,grad_align_bar,96,3,per_layer,6,D,0.017182
W1,weather,grad_align_bar,96,3,last_layer,0,S,0.002508
W1,weather,grad_align_bar,96,3,last_layer,1,S,0.001528
W1,weather,grad_align_bar,96,3,last_layer,2,M,0.003662
W1,weather,grad_align_bar,96,3,last_layer,3,M,0.001932
W1,weather,grad_align_bar,96,3,last_layer,4,D,-0.004084
W1,weather,grad_align_bar,96,3,last_layer,5,D,-0.004424
W1,weather,grad_align_bar,96,3,last_layer,6,D,0.002983
W1,weather,grad_align_bar,96,5,per_layer,0,S,0.006117
W1,weather,grad_align_bar,96,5,per_layer,1,S,0.001199
W1,weather,grad_align_bar,96,5,per_layer,2,M,0.002184
W1,weather,grad_align_bar,96,5,per_layer,3,M,-0.000234
