experiment_type,dataset,plot_type,horizon,seed,mode,grad_align_s,grad_align_m,grad_align_d,grad_align_mean
W1,weather,grad_align_bar,96,42,per_layer,-0.0068444742129759,-0.0071352508823229,0.0049800253105018,-0.0018599106084417
W1,weather,grad_align_bar,96,42,last_layer,0.0052322073763168,-0.0020880563348055,-0.0053224251273429,-0.0013827104712866
W1,weather,grad_align_bar,96,2,per_layer,0.0026068097753126,-0.0123428171300087,-0.0001448284160926,-0.0028437857082385
W1,weather,grad_align_bar,96,2,last_layer,0.0033580327253813,8.992651345973994e-05,-0.0058250538325907,-0.0015113204314414
W1,weather,grad_align_bar,96,3,per_layer,3.84768089988722e-05,-0.0024247339978502,0.008779196377158,0.0030807249648244
W1,weather,grad_align_bar,96,3,last_layer,0.002018172612239,0.0027973194036039,-0.0018414830434831,0.0005866478430337
W1,weather,grad_align_bar,96,5,per_layer,0.0036579103905191,0.0009750650470133,0.0061181696919568,0.0039457799929907
W1,weather,grad_align_bar,96,5,last_layer,-0.0006644046160851,0.002896544425273,-0.0010710812369608,0.0001787194153561
W1,weather,grad_align_bar,96,7,per_layer,-0.0101192662569449,-0.0043384239907521,0.0042478500459936,-0.0023102614796304
W1,weather,grad_align_bar,96,7,last_layer,-0.0027380946144571,-0.0024758432977578,0.0025411497105458,-0.0004006323846846
W1,weather,grad_align_bar,96,11,per_layer,0.0105694555146715,0.0043133539031653,0.0016472331422502,0.0049581883232035
W1,weather,grad_align_bar,96,11,last_layer,0.0014011984015271,0.0025240498020306,0.0033366708123533,0.0025515012634536
W1,weather,grad_align_bar,96,13,per_layer,-0.0138565828904602,-0.0125567387586882,0.0017810228216319,-0.006783367833343
W1,weather,grad_align_bar,96,13,last_layer,-0.0053161769862739,0.0041721379272809,-0.0018462108370533,-0.0011181015184494
W1,weather,grad_align_bar,96,17,per_layer,0.0095558480568796,0.0108995597204225,-0.0014141738133292,0.0052383277306595
W1,weather,grad_align_bar,96,17,last_layer,0.0028817539336211,0.0001830884338342,-0.0016003689812721,0.0001897968272992
W1,weather,grad_align_bar,96,19,per_layer,7.723750434742924e-05,0.0091681781057004,0.00080405255916,0.0029861412710822
W1,weather,grad_align_bar,96,19,last_layer,0.0011990711474964,0.0004540200058046,-0.0018455021543219,-0.0003186177366233
W1,weather,grad_align_bar,96,23,per_layer,0.0134470369126792,-0.0048833884553856,-0.0021642220999169,0.0015192329449766
W1,weather,grad_align_bar,96,23,last_layer,0.0006868956617998,0.003706790289221,-0.0086085255938788,-0.0024340292685135
W1,weather,grad_align_bar,192,42,per_layer,0.0176261371296879,0.0012278806711339,0.0023260477055231,0.0063837398168876
W1,weather,grad_align_bar,192,42,last_layer,0.0039481717242736,-0.0034589252902476,0.0017600524959907,0.0008940929080034
W1,weather,grad_align_bar,192,2,per_layer,0.0019336967989444,-0.0042206203454856,0.0025291860933619,0.0004305301695719
W1,weather,grad_align_bar,192,2,last_layer,-5.3069460242102665e-05,-0.005104153152263,-0.0095604392743316,-0.0055708232925721
W1,weather,grad_align_bar,192,3,per_layer,0.0008702303909692,-0.0122128610853796,-0.010328224820483,-0.0076671336928956
W1,weather,grad_align_bar,192,3,last_layer,-0.0007141852526792,0.0064259719354872,-0.0015990337632165,0.0009466388679951
W1,weather,grad_align_bar,192,5,per_layer,-0.0056980400451519,-0.0044950054246334,-0.0054735327503643,-0.005258098455809
W1,weather,grad_align_bar,192,5,last_layer,-0.0041591623358436,0.0136038222618186,0.0108537634057251,0.0073500871527322
W1,weather,grad_align_bar,192,7,per_layer,-0.0034587286180718,0.0091245867508834,0.0010670366432751,0.0020761180279212
W1,weather,grad_align_bar,192,7,last_layer,0.0038507981068942,-0.0005242928769639,-0.0007085395308873,0.0006467702667426
