experiment_type,dataset,plot_type,horizon,seed,mode,layer_idx,rmse_knockout,delta_rmse
W1,weather,knockout_curve,96,42,per_layer,0,78.67037769288173,0.0012477425807304
W1,weather,knockout_curve,96,42,per_layer,1,78.70842000768313,0.0392900573821322
W1,weather,knockout_curve,96,42,per_layer,2,78.67505105375929,0.0059211034582915
W1,weather,knockout_curve,96,42,per_layer,3,78.65657793428913,-0.0125520160118668
W1,weather,knockout_curve,96,42,per_layer,4,78.64674409654762,-0.0223858537533772
W1,weather,knockout_curve,96,42,per_layer,5,78.66446376189823,-0.0046661884027656
W1,weather,knockout_curve,96,42,per_layer,6,78.65872389356315,-0.0104060567378496
W1,weather,knockout_curve,96,42,last_layer,0,80.89463985060223,0.0
W1,weather,knockout_curve,96,42,last_layer,1,80.89463985060223,0.0
W1,weather,knockout_curve,96,42,last_layer,2,80.89463985060223,0.0
W1,weather,knockout_curve,96,42,last_layer,3,80.89463985060223,0.0
W1,weather,knockout_curve,96,42,last_layer,4,80.89463985060223,0.0
W1,weather,knockout_curve,96,42,last_layer,5,80.89463985060223,0.0
W1,weather,knockout_curve,96,42,last_layer,6,80.89463985060223,0.0
W1,weather,knockout_curve,96,2,per_layer,0,78.77741738162082,0.0562835865289201
W1,weather,knockout_curve,96,2,per_layer,1,78.7442027217738,0.0230689266819013
W1,weather,knockout_curve,96,2,per_layer,2,78.71070905769778,-0.0104247373941177
W1,weather,knockout_curve,96,2,per_layer,3,78.71506497560438,-0.006068819487524
W1,weather,knockout_curve,96,2,per_layer,4,78.69777932495307,-0.0233544701388268
W1,weather,knockout_curve,96,2,per_layer,5,78.73973538741241,0.0186015923205076
W1,weather,knockout_curve,96,2,per_layer,6,78.73590402124883,0.0147702261569264
W1,weather,knockout_curve,96,2,last_layer,0,81.09962789458258,0.0
W1,weather,knockout_curve,96,2,last_layer,1,81.09962789458258,0.0
W1,weather,knockout_curve,96,2,last_layer,2,81.09962789458258,0.0
W1,weather,knockout_curve,96,2,last_layer,3,81.09962789458258,0.0
W1,weather,knockout_curve,96,2,last_layer,4,81.09962789458258,0.0
W1,weather,knockout_curve,96,2,last_layer,5,81.09962789458258,0.0
W1,weather,knockout_curve,96,2,last_layer,6,81.09962789458258,0.0
W1,weather,knockout_curve,96,3,per_layer,0,78.58045100962613,0.0139618381782469
W1,weather,knockout_curve,96,3,per_layer,1,78.58633840811194,0.0198492366640579
W1,weather,knockout_curve,96,3,per_layer,2,78.54138989192256,-0.025099279525321
W1,weather,knockout_curve,96,3,per_layer,3,78.55944056828321,-0.0070486031646765
W1,weather,knockout_curve,96,3,per_layer,4,78.5452065036376,-0.0212826678102828
W1,weather,knockout_curve,96,3,per_layer,5,78.55723749111066,-0.0092516803372291
W1,weather,knockout_curve,96,3,per_layer,6,78.55340660521564,-0.0130825662322422
W1,weather,knockout_curve,96,3,last_layer,0,80.96341692604724,0.0
W1,weather,knockout_curve,96,3,last_layer,1,80.96341692604724,0.0
W1,weather,knockout_curve,96,3,last_layer,2,80.96341692604724,0.0
W1,weather,knockout_curve,96,3,last_layer,3,80.96341692604724,0.0
W1,weather,knockout_curve,96,3,last_layer,4,80.96341692604724,0.0
W1,weather,knockout_curve,96,3,last_layer,5,80.96341692604724,0.0
W1,weather,knockout_curve,96,3,last_layer,6,80.96341692604724,0.0
W1,weather,knockout_curve,96,5,per_layer,0,78.62474195775717,0.0667757087903879
W1,weather,knockout_curve,96,5,per_layer,1,78.58117033710427,0.0232040881374899
W1,weather,knockout_curve,96,5,per_layer,2,78.53780519238623,-0.0201610565805481
W1,weather,knockout_curve,96,5,per_layer,3,78.56799670640311,0.0100304574363292
W1,weather,knockout_curve,96,5,per_layer,4,78.55824352163786,0.0002772726710844
W1,weather,knockout_curve,96,5,per_layer,5,78.56210420234697,0.0041379533801944
W1,weather,knockout_curve,96,5,per_layer,6,78.57800590861764,0.0200396596508625
W1,weather,knockout_curve,96,5,last_layer,0,81.2308325748745,0.0
W1,weather,knockout_curve,96,5,last_layer,1,81.2308325748745,0.0
W1,weather,knockout_curve,96,5,last_layer,2,81.2308325748745,0.0
W1,weather,knockout_curve,96,5,last_layer,3,81.2308325748745,0.0
W1,weather,knockout_curve,96,5,last_layer,4,81.2308325748745,0.0
