experiment_type,dataset,plot_type,horizon,seed,mode,w1_knockout_base_rmse,w1_knockout_delta_mean,w1_knockout_delta_max,w1_knockout_delta_min
W1,weather,knockout_curve,96,42,per_layer,78.669129950301,-0.0005073159263864,0.0392900573821322,-0.0223858537533772
W1,weather,knockout_curve,96,42,last_layer,80.89463985060223,0.0,0.0,0.0
W1,weather,knockout_curve,96,2,per_layer,78.7211337950919,0.0104109006668267,0.0562835865289201,-0.0233544701388268
W1,weather,knockout_curve,96,2,last_layer,81.09962789458258,0.0,0.0,0.0
W1,weather,knockout_curve,96,3,per_layer,78.56648917144788,-0.0059933888896352,0.0198492366640579,-0.025099279525321
W1,weather,knockout_curve,96,3,last_layer,80.96341692604724,0.0,0.0,0.0
W1,weather,knockout_curve,96,5,per_layer,78.55796624896678,0.0149005833551143,0.0667757087903879,-0.0201610565805481
W1,weather,knockout_curve,96,5,last_layer,81.2308325748745,0.0,0.0,0.0
W1,weather,knockout_curve,96,7,per_layer,78.32224661646212,-0.0066729196453556,0.0320937976823216,-0.0252271427711576
W1,weather,knockout_curve,96,7,last_layer,81.56958319575718,0.0,0.0,0.0
W1,weather,knockout_curve,96,11,per_layer,78.38815908785442,0.0027195171959013,0.0342527303458126,-0.0349178082643959
W1,weather,knockout_curve,96,11,last_layer,81.62981252052992,0.0,0.0,0.0
W1,weather,knockout_curve,96,13,per_layer,78.5342242582982,0.0124574290248854,0.0396480970453581,-0.0167508975458616
W1,weather,knockout_curve,96,13,last_layer,81.85575873076421,0.0,0.0,0.0
W1,weather,knockout_curve,96,17,per_layer,78.45092711589895,-0.0002077454400506,0.0133089873374103,-0.0077796888531764
W1,weather,knockout_curve,96,17,last_layer,81.14845431176707,0.0,0.0,0.0
W1,weather,knockout_curve,96,19,per_layer,78.42733336441029,-0.0182526383226827,0.0053947786743009,-0.0347292917426216
W1,weather,knockout_curve,96,19,last_layer,81.78703416968396,0.0,0.0,0.0
W1,weather,knockout_curve,96,23,per_layer,78.47319592677304,0.0094412650272955,0.0841929450203338,-0.0126552505666239
W1,weather,knockout_curve,96,23,last_layer,81.16259851051274,0.0,0.0,0.0
W1,weather,knockout_curve,192,42,per_layer,80.20875021557822,0.0039095212201963,0.0188457469748613,-0.0107554529120079
W1,weather,knockout_curve,192,42,last_layer,82.9979581650676,0.0,0.0,0.0
W1,weather,knockout_curve,192,2,per_layer,80.44709315859994,0.0056200762360885,0.0346349646613219,-0.0179840664592489
W1,weather,knockout_curve,192,2,last_layer,82.89636265375667,0.0,0.0,0.0
W1,weather,knockout_curve,192,3,per_layer,80.37916811848349,-0.0047243869896951,0.0090319425043787,-0.0176059938317649
W1,weather,knockout_curve,192,3,last_layer,82.61921180845938,0.0,0.0,0.0
W1,weather,knockout_curve,192,5,per_layer,80.72906071481623,0.0027092719184988,0.0340825805100593,-0.0187898341993104
W1,weather,knockout_curve,192,5,last_layer,83.5077481267001,0.0,0.0,0.0
W1,weather,knockout_curve,192,7,per_layer,80.27049444308417,0.0141803320981515,0.046203383507688,-0.0163084151890302
W1,weather,knockout_curve,192,7,last_layer,82.88230961803386,0.0,0.0,0.0
W1,weather,knockout_curve,192,11,per_layer,80.1606780460942,0.0057397608738065,0.0255305766090572,-0.0125167236614913
W1,weather,knockout_curve,192,11,last_layer,82.78215786820199,0.0,0.0,0.0
W1,weather,knockout_curve,192,13,per_layer,79.99239828233046,0.0040335516756349,0.0360019423978741,-0.02704937953078
W1,weather,knockout_curve,192,13,last_layer,83.07205519529487,0.0,0.0,0.0
W1,weather,knockout_curve,192,17,per_layer,80.27526949133673,-0.0041046638281524,0.0154357872070391,-0.0174709558109498
W1,weather,knockout_curve,192,17,last_layer,82.67343847266812,0.0,0.0,0.0
W1,weather,knockout_curve,192,19,per_layer,80.22934117112902,-0.0141442024195665,0.0044685046422756,-0.027186660955607
W1,weather,knockout_curve,192,19,last_layer,83.0736205223823,0.0,0.0,0.0
W1,weather,knockout_curve,192,23,per_layer,80.3153362085078,-0.0078097923027066,0.0388567764337466,-0.0287711132813228
W1,weather,knockout_curve,192,23,last_layer,82.89496375087445,0.0,0.0,0.0
W1,weather,knockout_curve,336,42,per_layer,81.92039600574621,-0.0022169793880176,0.0302298219273779,-0.0432875990463514
W1,weather,knockout_curve,336,42,last_layer,84.03381384601579,0.0,0.0,0.0
W1,weather,knockout_curve,336,2,per_layer,81.60801197997492,-0.0005162504692565,0.023377113331179,-0.0230350760074884
W1,weather,knockout_curve,336,2,last_layer,84.03006605943568,0.0,0.0,0.0
W1,weather,knockout_curve,336,3,per_layer,81.84146764951352,-0.0190222060916178,-0.0010451422674435,-0.0459288628212846
W1,weather,knockout_curve,336,3,last_layer,83.91341773533831,0.0,0.0,0.0
W1,weather,knockout_curve,336,5,per_layer,82.48831334424838,-0.0191773842313917,0.0348655877047718,-0.0647536847027225
W1,weather,knockout_curve,336,5,last_layer,83.67383701050787,0.0,0.0,0.0
