experiment_type,dataset,plot_type,horizon,seed,mode,model_tag,run_tag,tod,stage,gate_mean
W2,ETTh1,gate_tod_heatmap,96,42,dynamic,HyperConv,W2_ETTh1_96_42_dynamic,0,S,0.4987179934978485
W2,ETTh1,gate_tod_heatmap,96,42,dynamic,HyperConv,W2_ETTh1_96_42_dynamic,1,S,0.4985289871692657
W2,ETTh1,gate_tod_heatmap,96,42,dynamic,HyperConv,W2_ETTh1_96_42_dynamic,0,M,0.4977239966392517
W2,ETTh1,gate_tod_heatmap,96,42,dynamic,HyperConv,W2_ETTh1_96_42_dynamic,1,M,0.4969980120658874
W2,ETTh1,gate_tod_heatmap,96,42,dynamic,HyperConv,W2_ETTh1_96_42_dynamic,0,D,0.4964370131492615
W2,ETTh1,gate_tod_heatmap,96,42,dynamic,HyperConv,W2_ETTh1_96_42_dynamic,1,D,0.4918670058250427
W2,ETTh1,gate_tod_heatmap,96,42,static,HyperConv,W2_ETTh1_96_42_static,0,S,0.4971109926700592
W2,ETTh1,gate_tod_heatmap,96,42,static,HyperConv,W2_ETTh1_96_42_static,1,S,0.4988720118999481
W2,ETTh1,gate_tod_heatmap,96,42,static,HyperConv,W2_ETTh1_96_42_static,0,M,0.4975669980049133
W2,ETTh1,gate_tod_heatmap,96,42,static,HyperConv,W2_ETTh1_96_42_static,1,M,0.4989219903945923
W2,ETTh1,gate_tod_heatmap,96,42,static,HyperConv,W2_ETTh1_96_42_static,0,D,0.4970270097255707
W2,ETTh1,gate_tod_heatmap,96,42,static,HyperConv,W2_ETTh1_96_42_static,1,D,0.497990995645523
W2,ETTh1,gate_tod_heatmap,192,42,dynamic,HyperConv,W2_ETTh1_192_42_dynamic,0,S,0.498665988445282
W2,ETTh1,gate_tod_heatmap,192,42,dynamic,HyperConv,W2_ETTh1_192_42_dynamic,1,S,0.4989500045776367
W2,ETTh1,gate_tod_heatmap,192,42,dynamic,HyperConv,W2_ETTh1_192_42_dynamic,0,M,0.4982669949531555
W2,ETTh1,gate_tod_heatmap,192,42,dynamic,HyperConv,W2_ETTh1_192_42_dynamic,1,M,0.4975129961967468
W2,ETTh1,gate_tod_heatmap,192,42,dynamic,HyperConv,W2_ETTh1_192_42_dynamic,0,D,0.497076004743576
W2,ETTh1,gate_tod_heatmap,192,42,dynamic,HyperConv,W2_ETTh1_192_42_dynamic,1,D,0.4930619895458221
W2,ETTh1,gate_tod_heatmap,192,42,static,HyperConv,W2_ETTh1_192_42_static,0,S,0.4979600012302398
W2,ETTh1,gate_tod_heatmap,192,42,static,HyperConv,W2_ETTh1_192_42_static,1,S,0.4984979927539825
W2,ETTh1,gate_tod_heatmap,192,42,static,HyperConv,W2_ETTh1_192_42_static,0,M,0.4983879923820495
W2,ETTh1,gate_tod_heatmap,192,42,static,HyperConv,W2_ETTh1_192_42_static,1,M,0.4998939931392669
W2,ETTh1,gate_tod_heatmap,192,42,static,HyperConv,W2_ETTh1_192_42_static,0,D,0.4984509944915771
W2,ETTh1,gate_tod_heatmap,192,42,static,HyperConv,W2_ETTh1_192_42_static,1,D,0.4989619851112366
W2,ETTh1,gate_tod_heatmap,336,42,dynamic,HyperConv,W2_ETTh1_336_42_dynamic,0,S,0.4989930093288421
W2,ETTh1,gate_tod_heatmap,336,42,dynamic,HyperConv,W2_ETTh1_336_42_dynamic,1,S,0.4987309873104095
W2,ETTh1,gate_tod_heatmap,336,42,dynamic,HyperConv,W2_ETTh1_336_42_dynamic,0,M,0.4981000125408172
W2,ETTh1,gate_tod_heatmap,336,42,dynamic,HyperConv,W2_ETTh1_336_42_dynamic,1,M,0.4974580109119415
W2,ETTh1,gate_tod_heatmap,336,42,dynamic,HyperConv,W2_ETTh1_336_42_dynamic,0,D,0.497296005487442
W2,ETTh1,gate_tod_heatmap,336,42,dynamic,HyperConv,W2_ETTh1_336_42_dynamic,1,D,0.493690013885498
W2,ETTh1,gate_tod_heatmap,336,42,static,HyperConv,W2_ETTh1_336_42_static,0,S,0.4980779886245727
W2,ETTh1,gate_tod_heatmap,336,42,static,HyperConv,W2_ETTh1_336_42_static,1,S,0.4986400008201599
W2,ETTh1,gate_tod_heatmap,336,42,static,HyperConv,W2_ETTh1_336_42_static,0,M,0.4981760084629059
W2,ETTh1,gate_tod_heatmap,336,42,static,HyperConv,W2_ETTh1_336_42_static,1,M,0.4987980127334595
W2,ETTh1,gate_tod_heatmap,336,42,static,HyperConv,W2_ETTh1_336_42_static,0,D,0.4976780116558075
W2,ETTh1,gate_tod_heatmap,336,42,static,HyperConv,W2_ETTh1_336_42_static,1,D,0.4978399872779846
W2,ETTh1,gate_tod_heatmap,720,42,dynamic,HyperConv,W2_ETTh1_720_42_dynamic,0,S,0.4988180100917816
W2,ETTh1,gate_tod_heatmap,720,42,dynamic,HyperConv,W2_ETTh1_720_42_dynamic,1,S,0.498647004365921
W2,ETTh1,gate_tod_heatmap,720,42,dynamic,HyperConv,W2_ETTh1_720_42_dynamic,0,M,0.4981740117073059
W2,ETTh1,gate_tod_heatmap,720,42,dynamic,HyperConv,W2_ETTh1_720_42_dynamic,1,M,0.497745007276535
W2,ETTh1,gate_tod_heatmap,720,42,dynamic,HyperConv,W2_ETTh1_720_42_dynamic,0,D,0.4975360035896301
W2,ETTh1,gate_tod_heatmap,720,42,dynamic,HyperConv,W2_ETTh1_720_42_dynamic,1,D,0.4946739971637726
W2,ETTh1,gate_tod_heatmap,720,42,static,HyperConv,W2_ETTh1_720_42_static,0,S,0.4991460144519806
W2,ETTh1,gate_tod_heatmap,720,42,static,HyperConv,W2_ETTh1_720_42_static,1,S,0.49950700998306274
W2,ETTh1,gate_tod_heatmap,720,42,static,HyperConv,W2_ETTh1_720_42_static,0,M,0.49856600165367126
W2,ETTh1,gate_tod_heatmap,720,42,static,HyperConv,W2_ETTh1_720_42_static,1,M,0.4993729889392853
W2,ETTh1,gate_tod_heatmap,720,42,static,HyperConv,W2_ETTh1_720_42_static,0,D,0.49865201115608215
W2,ETTh1,gate_tod_heatmap,720,42,static,HyperConv,W2_ETTh1_720_42_static,1,D,0.49853000044822693
