experiment_type,dataset,plot_type,horizon,seed,mode,model_tag,run_tag,stat,value
W3,ETTm2,gate_distribution,96,42,none,HyperConv,W3_ETTm2_96_42_none,gate_q05,0.0485053025186061
W3,ETTm2,gate_distribution,96,42,none,HyperConv,W3_ETTm2_96_42_none,gate_q10,0.0486334711313247
W3,ETTm2,gate_distribution,96,42,none,HyperConv,W3_ETTm2_96_42_none,gate_q25,0.04956572689116
W3,ETTm2,gate_distribution,96,42,none,HyperConv,W3_ETTm2_96_42_none,gate_q50,0.4884093012660742
W3,ETTm2,gate_distribution,96,42,none,HyperConv,W3_ETTm2_96_42_none,gate_q75,0.9366434812545776
W3,ETTm2,gate_distribution,96,42,none,HyperConv,W3_ETTm2_96_42_none,gate_q90,0.942607879638672
W3,ETTm2,gate_distribution,96,42,none,HyperConv,W3_ETTm2_96_42_none,gate_q95,0.945131540298462
W3,ETTm2,gate_distribution,96,42,tod_shift,HyperConv,W3_ETTm2_96_42_tod_shift,gate_q05,0.0480984635651111
W3,ETTm2,gate_distribution,96,42,tod_shift,HyperConv,W3_ETTm2_96_42_tod_shift,gate_q10,0.0484183244407177
W3,ETTm2,gate_distribution,96,42,tod_shift,HyperConv,W3_ETTm2_96_42_tod_shift,gate_q25,0.0495361033827066
W3,ETTm2,gate_distribution,96,42,tod_shift,HyperConv,W3_ETTm2_96_42_tod_shift,gate_q50,0.4876137059181928
W3,ETTm2,gate_distribution,96,42,tod_shift,HyperConv,W3_ETTm2_96_42_tod_shift,gate_q75,0.937320202589035
W3,ETTm2,gate_distribution,96,42,tod_shift,HyperConv,W3_ETTm2_96_42_tod_shift,gate_q90,0.9429168105125428
W3,ETTm2,gate_distribution,96,42,tod_shift,HyperConv,W3_ETTm2_96_42_tod_shift,gate_q95,0.9443485140800476
W3,ETTm2,gate_distribution,96,42,smooth,HyperConv,W3_ETTm2_96_42_smooth,gate_q05,0.048587359488010406
W3,ETTm2,gate_distribution,96,42,smooth,HyperConv,W3_ETTm2_96_42_smooth,gate_q10,0.04859870672225952
W3,ETTm2,gate_distribution,96,42,smooth,HyperConv,W3_ETTm2_96_42_smooth,gate_q25,0.04948027990758419
W3,ETTm2,gate_distribution,96,42,smooth,HyperConv,W3_ETTm2_96_42_smooth,gate_q50,0.48850073479115963
W3,ETTm2,gate_distribution,96,42,smooth,HyperConv,W3_ETTm2_96_42_smooth,gate_q75,0.9363859444856644
W3,ETTm2,gate_distribution,96,42,smooth,HyperConv,W3_ETTm2_96_42_smooth,gate_q90,0.9424949884414673
W3,ETTm2,gate_distribution,96,42,smooth,HyperConv,W3_ETTm2_96_42_smooth,gate_q95,0.9452052712440491
