experiment_type,dataset,horizon,seed,model_tag,mode,run_tag,window_index,mse
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,0,7.343689
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,1,6.9110374
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,2,6.987185
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,3,7.5752025
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,4,8.743658
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,5,9.194871
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,6,8.155629
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,7,9.348796
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,8,9.15262
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,9,9.326724
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,10,8.921503
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,11,9.448625
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,12,9.897936
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,13,10.834209
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,14,11.27127
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,15,10.218277
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,16,8.800796
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,17,8.706486
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,18,7.9015174
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,19,8.395239
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,20,7.3382177
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,21,7.0947657
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,22,7.9927664
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,23,7.4792075
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,24,7.4481773
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,25,7.531028
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,26,8.0312
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,27,8.543313
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,28,8.509715
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,29,8.055064
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,30,8.005641
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,31,7.3544574
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,32,7.608895
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,33,7.741902
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,34,8.087366
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,35,7.746896
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,36,7.487758
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,37,7.3488507
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,38,7.2638116
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,39,7.096351
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,40,7.48314
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,41,7.98923
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,42,7.4867654
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,43,7.417691
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,44,7.4210234
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,45,7.526245
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,46,7.656633
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,47,8.224294
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,48,8.637168
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,49,8.366603
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,50,9.2366905
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,51,8.638543
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,52,8.925298
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,53,8.75574
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,54,9.180527
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,55,8.66872
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,56,8.158259
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,57,8.797649
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,58,8.512175
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,59,8.154843
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,60,8.2065325
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,61,7.8080893
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,62,8.413239
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,63,8.401376
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,64,8.936901
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,65,8.454091
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,66,9.093351
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,67,8.3520565
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,68,8.32021
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,69,9.482079
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,70,9.230149
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,71,9.242573
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,72,8.911299
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,73,9.530462
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,74,9.873726
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,75,9.458419
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,76,9.025818
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,77,9.8482895
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,78,9.783378
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,79,9.448214
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,80,10.005305
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,81,9.894201
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,82,10.32307
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,83,10.512187
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,84,10.256066
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,85,10.890461
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,86,11.803512
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,87,11.69214
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,88,12.114395
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,89,11.816892
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,90,11.452844
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,91,12.150584
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,92,12.286717
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,93,12.655295
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,94,12.301883
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,95,12.45376
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,96,12.316905
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,97,12.189767
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,98,12.085695
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,99,11.992298
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,100,11.378805
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,101,11.951134
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,102,11.656688
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,103,12.159713
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,104,12.07424
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,105,12.338257
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,106,12.522056
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,107,12.650579
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,108,12.329379
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,109,12.074934
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,110,12.084468
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,111,11.9409075
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,112,12.183513
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,113,12.070979
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,114,12.236528
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,115,12.300654
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,116,12.524983
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,117,12.078853
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,118,11.826236
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,119,12.335246
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,120,12.121516
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,121,12.068698
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,122,11.939079
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,123,12.174004
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,124,12.0974865
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,125,11.692354
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,126,11.828792
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,127,11.7283325
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,128,11.90237
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,129,11.97482
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,130,12.288871
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,131,12.183181
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,132,12.116414
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,133,12.39528
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,134,12.469869
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,135,12.534985
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,136,12.232206
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,137,12.170711
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,138,11.823174
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,139,12.142868
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,140,12.329485
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,141,12.460271
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,142,12.419505
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,143,12.603205
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,144,13.024731
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,145,12.980713
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,146,13.163075
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,147,12.891139
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,148,12.927309
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,149,12.794734
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,150,12.888226
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,151,13.335907
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,152,13.459106
